pair,ligand_gene,receptor_gene,sender_cluster,receiver_cluster,n_sender,n_receiver,mean_score
B2M__Malignant|CD74__Macrophage,B2M,CD74,Malignant,Macrophage,2624,315,112.455635
HLA-B__Malignant|CD74__Macrophage,HLA-B,CD74,Malignant,Macrophage,2624,315,87.64432
MIF__Malignant|CD74__Macrophage,MIF,CD74,Malignant,Macrophage,2624,315,86.10357
HLA-A__Malignant|CD74__Macrophage,HLA-A,CD74,Malignant,Macrophage,2624,315,65.180664
TFF3__Malignant|CD74__Macrophage,TFF3,CD74,Malignant,Macrophage,2624,315,59.074654
APOE__Macrophage|CD74__Malignant,APOE,CD74,Macrophage,Malignant,315,2624,46.74609
HLA-C__Malignant|CD74__Macrophage,HLA-C,CD74,Malignant,Macrophage,2624,315,43.558445
CD24__Malignant|CD74__Macrophage,CD24,CD74,Malignant,Macrophage,2624,315,35.532276
UBA52__Malignant|CD74__Macrophage,UBA52,CD74,Malignant,Macrophage,2624,315,31.9406
PSAP__Macrophage|CD74__Malignant,PSAP,CD74,Macrophage,Malignant,315,2624,29.832453
HLA-DRA__Macrophage|CD74__Malignant,HLA-DRA,CD74,Macrophage,Malignant,315,2624,27.602085
APOE__Macrophage|BAMBI__Malignant,APOE,BAMBI,Macrophage,Malignant,315,2624,26.7417
GNAS__Malignant|CD74__Macrophage,GNAS,CD74,Malignant,Macrophage,2624,315,25.85006
LGALS3BP__Malignant|CD74__Macrophage,LGALS3BP,CD74,Malignant,Macrophage,2624,315,25.599813
FN1__Stroma|CD74__Malignant,FN1,CD74,Stroma,Malignant,768,2624,24.095188
HSPA1A__Malignant|CD74__Macrophage,HSPA1A,CD74,Malignant,Macrophage,2624,315,23.175901
ARF1__Malignant|CD74__Macrophage,ARF1,CD74,Malignant,Macrophage,2624,315,22.288628
CD9__Malignant|CD74__Macrophage,CD9,CD74,Malignant,Macrophage,2624,315,21.219065
EFNA1__Malignant|CD74__Macrophage,EFNA1,CD74,Malignant,Macrophage,2624,315,19.241095
TNFSF10__Malignant|CD74__Macrophage,TNFSF10,CD74,Malignant,Macrophage,2624,315,18.20928
CALR__Malignant|CD74__Macrophage,CALR,CD74,Malignant,Macrophage,2624,315,17.53613
APOE__Macrophage|CD9__Malignant,APOE,CD9,Macrophage,Malignant,315,2624,17.469948
PSAP__Macrophage|BAMBI__Malignant,PSAP,BAMBI,Macrophage,Malignant,315,2624,17.05999
B2M__Malignant|CD81__Stroma,B2M,CD81,Malignant,Stroma,2624,768,16.901337
AZGP1__Malignant|CD74__Macrophage,AZGP1,CD74,Malignant,Macrophage,2624,315,16.554089
LYZ__Macrophage|CD74__Malignant,LYZ,CD74,Macrophage,Malignant,315,2624,15.901155
HLA-DRA__Macrophage|BAMBI__Malignant,HLA-DRA,BAMBI,Macrophage,Malignant,315,2624,15.896752
B2M__Malignant|CD74__Stroma,B2M,CD74,Malignant,Stroma,2624,768,15.28516
IGFBP4__Malignant|CD74__Macrophage,IGFBP4,CD74,Malignant,Macrophage,2624,315,14.973416
B2M__Malignant|CD81__Macrophage,B2M,CD81,Malignant,Macrophage,2624,315,14.784245
APOE__Macrophage|IL6ST__Malignant,APOE,IL6ST,Macrophage,Malignant,315,2624,14.720048
