Sender,Receiver,score,Ligand,Receptor
Bcell,Bcell,0.007347398027623162,ADAM17,ITGB1
Endothelial,Bcell,3.5129658603051815e-07,ADAM17,ITGB1
Macrophage,Bcell,1.3441009780528514e-06,ADAM17,ITGB1
Malignant,Bcell,1.0122750383923352e-06,ADAM17,ITGB1
Stroma,Bcell,1.7235163779751053e-06,ADAM17,ITGB1
Tcell,Bcell,7.349435644838239e-05,ADAM17,ITGB1
Bcell,Endothelial,1.3902708282329276e-06,ADAM17,ITGB1
Endothelial,Endothelial,0.001711943605046468,ADAM17,ITGB1
Macrophage,Endothelial,1.1493547445651973e-05,ADAM17,ITGB1
Malignant,Endothelial,2.426518359352243e-06,ADAM17,ITGB1
Stroma,Endothelial,2.015518985978287e-05,ADAM17,ITGB1
Tcell,Endothelial,1.0959045330143062e-07,ADAM17,ITGB1
Bcell,Macrophage,5.122843672932495e-06,ADAM17,ITGB1
Endothelial,Macrophage,4.666135867693018e-06,ADAM17,ITGB1
Macrophage,Macrophage,0.0003166130861735521,ADAM17,ITGB1
Malignant,Macrophage,8.271693381467632e-07,ADAM17,ITGB1
Stroma,Macrophage,1.8000261861348204e-06,ADAM17,ITGB1
Tcell,Macrophage,7.711434541225851e-09,ADAM17,ITGB1
Bcell,Malignant,4.1933227556320626e-06,ADAM17,ITGB1
Endothelial,Malignant,5.777965085032815e-07,ADAM17,ITGB1
Macrophage,Malignant,8.004542867316089e-07,ADAM17,ITGB1
Malignant,Malignant,4.500589576272761e-05,ADAM17,ITGB1
Stroma,Malignant,1.165386229861139e-06,ADAM17,ITGB1
Tcell,Malignant,1.6183958750596183e-07,ADAM17,ITGB1
Bcell,Stroma,9.834033495920953e-07,ADAM17,ITGB1
Endothelial,Stroma,2.006016120969296e-05,ADAM17,ITGB1
Macrophage,Stroma,1.4470949906049235e-06,ADAM17,ITGB1
Malignant,Stroma,1.518443429658613e-06,ADAM17,ITGB1
Stroma,Stroma,0.00011719123455413878,ADAM17,ITGB1
Tcell,Stroma,1.8429661777045202e-07,ADAM17,ITGB1
Bcell,Tcell,0.000292652571748573,ADAM17,ITGB1
Endothelial,Tcell,1.6732410488183318e-06,ADAM17,ITGB1
Macrophage,Tcell,9.060770330241085e-09,ADAM17,ITGB1
Malignant,Tcell,2.669630273902873e-08,ADAM17,ITGB1
Stroma,Tcell,6.223622288748098e-07,ADAM17,ITGB1
Tcell,Tcell,0.014542234748454688,ADAM17,ITGB1
Bcell,Bcell,0.005096624799815343,ADAM17,ITGA5
Endothelial,Bcell,6.93385158512261e-07,ADAM17,ITGA5
Macrophage,Bcell,9.963972154660454e-07,ADAM17,ITGA5
Malignant,Bcell,4.834251938897205e-07,ADAM17,ITGA5
Stroma,Bcell,2.964602456289467e-05,ADAM17,ITGA5
Tcell,Bcell,0.00055747793356679,ADAM17,ITGA5
Bcell,Endothelial,3.1129859790735887e-06,ADAM17,ITGA5
Endothelial,Endothelial,0.0027123734105313547,ADAM17,ITGA5
Macrophage,Endothelial,4.239959399374164e-05,ADAM17,ITGA5
Malignant,Endothelial,8.855658928749772e-06,ADAM17,ITGA5
Stroma,Endothelial,3.4075993473629936e-05,ADAM17,ITGA5
Tcell,Endothelial,5.860118782254959e-08,ADAM17,ITGA5
Bcell,Macrophage,1.7136435345726902e-05,ADAM17,ITGA5
Endothelial,Macrophage,1.9647381275462604e-06,ADAM17,ITGA5
Macrophage,Macrophage,0.00023112381926156269,ADAM17,ITGA5
Malignant,Macrophage,7.424674761444804e-06,ADAM17,ITGA5
Stroma,Macrophage,7.691880110551481e-06,ADAM17,ITGA5
Tcell,Macrophage,5.048764301357038e-10,ADAM17,ITGA5
Bcell,Malignant,6.6972794631426284e-06,ADAM17,ITGA5
Endothelial,Malignant,2.0000634812916797e-06,ADAM17,ITGA5
Macrophage,Malignant,3.204476805430623e-06,ADAM17,ITGA5
Malignant,Malignant,3.2113356361836425e-05,ADAM17,ITGA5
Stroma,Malignant,1.8206314607238135e-06,ADAM17,ITGA5
Tcell,Malignant,4.337516311570493e-08,ADAM17,ITGA5
Bcell,Stroma,1.3339306227699059e-05,ADAM17,ITGA5
