Sender,Receiver,Ligand,Receptor,LRscore
Bcell,Macrophage,ADAM17,ITGA5,1.7136435345726902e-5
Bcell,Macrophage,ADAM17,ITGB1,5.122843672932495e-6
Bcell,Macrophage,ANGPT1,ITGA5,0
Bcell,Macrophage,ANGPT1,ITGB1,4.702143982013999e-9
Bcell,Macrophage,ANGPT2,ITGA5,0
Bcell,Macrophage,ANGPT2,ITGB1,4.6953839926197416e-9
Bcell,Macrophage,ANGPTL1,ITGB1,9.377324806197642e-7
Bcell,Macrophage,CCL13,CCR5,5.406591946744475e-6
Bcell,Macrophage,CCL19,CD163,1.3724058351831e-4
Bcell,Macrophage,CCL19,CD63,1.0495847142211e-4
Bcell,Macrophage,CCL19,CD74,1.5838505179403856e-5
Bcell,Macrophage,CCL19,CD81,8.733555469910597e-5
Bcell,Macrophage,CCL19,CD9,1.6806112541894e-4
Bcell,Macrophage,CCL19,ENO1,1.5133894341024e-4
Bcell,Macrophage,CCL19,FLOT1,2.3322936050525e-4
Bcell,Macrophage,CCL19,IL2RG,7.074055858511328e-5
Bcell,Macrophage,CCL19,ITGB2,2.5718991047215e-4
Bcell,Macrophage,CCL19,TYROBP,3.5746735242973e-4
Bcell,Macrophage,CD14,ITGB1,1.9502818874105e-4
Bcell,Macrophage,COL4A3,ITGB1,3.477535868821724e-7
Bcell,Macrophage,COL4A3,SDC1,1.897693660099667e-7
Bcell,Macrophage,CTSG,F2RL2,0
Bcell,Macrophage,EBI3,IL27RA,4.004323697584701e-5
Bcell,Macrophage,F10,ITGAM,4.4812923537491704e-6
Bcell,Macrophage,F13A1,ITGB1,9.478639896042735e-6
Bcell,Macrophage,FASLG,TNFRSF6B,2.6287096757769888e-5
Bcell,Macrophage,FCER2,ITGAM,5.671226741723373e-6
Bcell,Macrophage,FREM1,ITGB1,5.68398118595475e-7
Bcell,Macrophage,HGF,SDC1,2.876245610135777e-7
Bcell,Macrophage,HGF,SDC2,3.303583822042165e-5
Bcell,Macrophage,HP,CD163,4.027871148423942e-7
Bcell,Macrophage,HP,ITGAM,2.0790743270572025e-5
Bcell,Macrophage,ICAM2,ITGAL,2.5850068218022897e-5
Bcell,Macrophage,ICAM2,ITGAM,5.301962364106251e-5
Bcell,Macrophage,ICAM3,ITGAL,1.2817506609885e-4
Bcell,Macrophage,IGF1,ITGA6,1.1544964837219e-4
Bcell,Macrophage,IL16,CCR5,9.30829844949406e-5
Bcell,Macrophage,JAM2,ITGB1,3.349682804441112e-6
Bcell,Macrophage,LAMA1,ITGA6,6.27286578812044e-7
Bcell,Macrophage,LAMA1,ITGB1,9.349636321272082e-7
Bcell,Macrophage,LAMA1,SDC2,1.335335477852883e-5
Bcell,Macrophage,LAMA2,ITGA6,8.836690119743684e-5
Bcell,Macrophage,LAMA2,ITGB1,4.230160973331612e-6
Bcell,Macrophage,LAMC3,ITGA6,4.291558509797255e-6
Bcell,Macrophage,LAMC3,ITGB1,1.2792215898797218e-7
Bcell,Macrophage,LGALS9,HAVCR2,4.188806760350838e-5
Bcell,Macrophage,NID1,ITGB1,9.36275568300532e-6
Bcell,Macrophage,PLA2G2A,ITGA5,2.219470395858492e-7
Bcell,Macrophage,PLA2G2A,ITGB1,1.94630725877785e-6
Bcell,Macrophage,SELPLG,ITGAM,2.181286298852114e-5
Bcell,Macrophage,SEMA3D,NRP2,8.196162658457356e-5
Bcell,Macrophage,SEMA4D,CD72,6.465974428645099e-5
Bcell,Macrophage,SEMA7A,ITGB1,6.267588773158547e-6
Bcell,Macrophage,SLIT2,APP,2.7870490586383152e-5
Bcell,Macrophage,SLIT2,SDC1,2.2564827857838617e-6
Bcell,Macrophage,TNFSF14,TNFRSF6B,6.113594701487169e-5
Bcell,Macrophage,TNFSF15,TNFRSF25,0
Bcell,Macrophage,TNFSF15,TNFRSF6B,2.852192589207604e-5
Bcell,Macrophage,TNN,ITGB1,1.375308951285446e-6
Bcell,Macrophage,TNN,SDC1,1.286705247958077e-6
Bcell,Macrophage,VCAM1,ITGB1,4.0803902675475934e-5
Bcell,Macrophage,VCAM1,ITGB7,7.381759593071828e-5
Bcell,Malignant,CCL19,ADORA2A,6.810069997760107e-5
Bcell,Malignant,CCL19,AMFR,2.1240286612955615e-5
Bcell,Malignant,CCL19,ATP6AP2,5.296299095739263e-5
Bcell,Malignant,CCL19,BAMBI,3.4149013712188016e-5
Bcell,Malignant,CCL19,CD151,4.4712237564277354e-5
Bcell,Malignant,CCL19,CD163,4.350443887834567e-6
Bcell,Malignant,CCL19,CD44,2.7576843054111752e-5
Bcell,Malignant,CCL19,CD47,2.7202009117317583e-5
Bcell,Malignant,CCL19,CD55,6.401233931872553e-5
Bcell,Malignant,CCL19,CD63,1.3477030183701026e-5
Bcell,Malignant,CCL19,CD74,9.935432018169904e-7
Bcell,Malignant,CCL19,CD9,4.733775919762468e-5
Bcell,Malignant,CCL19,ENO1,2.2179633120795115e-5
Bcell,Malignant,CCL19,ERBB2,6.165674282305736e-5
Bcell,Malignant,CCL19,FLOT1,6.593162828222674e-5
Bcell,Malignant,CCL19,FPR3,3.470896976088028e-7
Bcell,Malignant,CCL19,GFRA1,6.319266531299976e-5
Bcell,Malignant,CCL19,IFITM1,4.143254801548257e-5
Bcell,Malignant,CCL19,IL13RA1,2.3119660739344372e-5
Bcell,Malignant,CCL19,IL6ST,4.867679552030348e-5
Bcell,Malignant,CCL19,ITGB5,4.74505293729208e-5
Bcell,Malignant,CCL19,LDLR,1.2203037065655414e-7
Bcell,Malignant,CCL19,MAGED1,1.6741013725869373e-5
Bcell,Malignant,CCL19,MRC2,7.052954113159867e-6
Bcell,Malignant,CCL19,PLXNA3,2.0968771236365153e-5
Bcell,Malignant,CCL19,PLXNB2,5.2780060832768245e-5
Bcell,Malignant,CCL19,PRLR,3.74253770558195e-5
Bcell,Malignant,CCL19,SDC1,5.4369558284963995e-5
Bcell,Malignant,CCL19,TREM2,1.4866337449015457e-5
Bcell,Malignant,CCL19,TYROBP,4.612598307415162e-5
Bcell,Stroma,CCL19,CAP1,1.5989420754087e-4
Bcell,Stroma,CCL19,CD74,6.259576404470418e-6
Bcell,Stroma,CCL19,CD81,3.490252569403353e-5
Bcell,Stroma,CCL19,FLOT1,1.6481748785999e-4
Bcell,Stroma,CCL19,IL6ST,1.0650906359034e-4
Bcell,Stroma,CCL19,ITGB5,1.7297802396774e-4
Bcell,Stroma,CCL19,LAMP2,1.7233066103436e-4
Endothelial,Macrophage,ANGPT2,ITGA5,3.635596737745167e-6
Endothelial,Macrophage,ANGPT2,ITGB1,1.0853138185397524e-6
Endothelial,Macrophage,COL4A2,CD44,1.0743265648274e-4
Endothelial,Macrophage,COL4A2,ITGAV,3.560663080851066e-5
Endothelial,Macrophage,COL4A2,ITGB1,4.5891789639704174e-5
Endothelial,Macrophage,COL4A2,SDC1,7.18220654244799e-5
Endothelial,Macrophage,COL4A2,SDC4,3.920323944845689e-5
Endothelial,Macrophage,CX3CL1,ITGAV,2.4612929065367595e-5
Endothelial,Macrophage,DUSP18,ITGA6,1.6988443583225657e-7
Endothelial,Macrophage,DUSP18,ITGB1,2.307681779033501e-7
Endothelial,Macrophage,EFNB1,ERBB2,1.6024773825666807e-6
Endothelial,Macrophage,HBEGF,CD44,2.0042279157483447e-6
Endothelial,Macrophage,HBEGF,ERBB2,8.912549081297637e-6
Endothelial,Macrophage,HSPG2,ITGB1,1.3415167055859e-4
Endothelial,Macrophage,HSPG2,SDC1,1.3618969964973e-4
Endothelial,Macrophage,ICAM1,IL2RA,3.0213590555416757e-5
Endothelial,Macrophage,ICAM1,ITGAL,3.295338924138178e-5
Endothelial,Macrophage,ICAM1,ITGB2,1.4408803976607263e-5
Endothelial,Macrophage,ICAM2,ITGAL,3.71698506414465e-5
Endothelial,Macrophage,ICAM2,ITGB2,6.395205352820194e-6
Endothelial,Macrophage,ICAM3,ITGAL,4.533417794540789e-5
Endothelial,Macrophage,ICAM3,ITGB2,1.5827792102245373e-5
Endothelial,Macrophage,IL15,IL2RA,6.186029632801178e-6
Endothelial,Macrophage,IL15,IL2RG,2.8661999942418067e-6
Endothelial,Macrophage,IL6,IL6ST,1.342469175635251e-9
Endothelial,Macrophage,JAM2,ITGAV,1.2532588670293309e-5
Endothelial,Macrophage,JAM2,ITGB1,2.6054365118276783e-6
Endothelial,Macrophage,JAM3,ITGB2,2.3007567692079896e-6
Endothelial,Macrophage,LGALS9,CD44,3.0222533876887448e-5
Endothelial,Macrophage,PDGFB,ITGAV,1.2776311135144402e-5
Endothelial,Macrophage,PDGFB,S1PR1,1.2427067500318892e-5
Endothelial,Macrophage,PGF,NRP1,6.771909825879951e-6
Endothelial,Macrophage,PROS1,AXL,6.0234275598583505e-5
