Sender,Receiver,Ligand,Receptor,LRscore
Bcell,Macrophage,ADAM17,ITGB1,0.0285462154594778
Bcell,Macrophage,ADAM17,ITGA5,0.008460981509695162
Bcell,Macrophage,ANGPT1,ITGB1,0
Bcell,Macrophage,ANGPT1,ITGA5,0
Bcell,Macrophage,ANGPT2,ITGB1,0
Bcell,Macrophage,ANGPT2,ITGA5,0
Bcell,Macrophage,ANGPTL1,ITGB1,0
Bcell,Macrophage,CCL13,CCR5,0
Bcell,Macrophage,CD14,ITGB1,0.11696081457944382
Bcell,Macrophage,COL4A3,ITGB1,0
Bcell,Macrophage,COL4A3,SDC1,0
Bcell,Macrophage,CTSG,F2RL2,0
Bcell,Macrophage,EBI3,IL27RA,9.524107562691175e-4
Bcell,Macrophage,F10,ITGAM,0
Bcell,Macrophage,F13A1,ITGB1,0.03315900434193126
Bcell,Macrophage,FASLG,TNFRSF6B,5.409982928159673e-4
Bcell,Macrophage,FCER2,ITGAM,0.002918789267522587
Bcell,Macrophage,FREM1,ITGB1,0
Bcell,Macrophage,HGF,SDC1,0.004103557458092158
Bcell,Macrophage,HGF,SDC2,5.409982928159673e-4
Bcell,Macrophage,HP,ITGAM,0
Bcell,Macrophage,HP,CD163,0
Bcell,Macrophage,ICAM2,ITGAM,0.0052198011879469085
Bcell,Macrophage,ICAM2,ITGAL,0.01038556358816963
Bcell,Macrophage,ICAM3,ITGAL,0.029951395032141177
Bcell,Macrophage,IGF1,ITGA6,0.0012103790215626281
Bcell,Macrophage,IL16,CCR5,0.011034255333073239
Bcell,Macrophage,JAM2,ITGB1,0.020557824784102764
Bcell,Macrophage,LAMA1,ITGB1,0
Bcell,Macrophage,LAMA1,ITGA6,0
Bcell,Macrophage,LAMA1,SDC2,0
Bcell,Macrophage,LAMA2,ITGB1,0.0285462154594778
Bcell,Macrophage,LAMA2,ITGA6,0.0028196672288972723
Bcell,Macrophage,LAMC3,ITGB1,0
Bcell,Macrophage,LAMC3,ITGA6,0
Bcell,Macrophage,LGALS9,HAVCR2,0.020297000062098485
Bcell,Macrophage,NID1,ITGB1,0.030858098699800374
Bcell,Macrophage,PLA2G2A,ITGB1,0
Bcell,Macrophage,PLA2G2A,ITGA5,0
Bcell,Macrophage,SELPLG,ITGAM,0.013539615440467313
Bcell,Macrophage,SEMA3D,NRP2,0
Bcell,Macrophage,SEMA4D,CD72,0.006523429173100953
Bcell,Macrophage,SEMA7A,ITGB1,0.016514158864159457
Bcell,Macrophage,SLIT2,SDC1,0.016214616994870406
Bcell,Macrophage,SLIT2,APP,0.01217452399144535
Bcell,Macrophage,TNFSF14,TNFRSF6B,0.0016212407015443438
Bcell,Macrophage,TNFSF15,TNFRSF6B,5.409982928159673e-4
Bcell,Macrophage,TNFSF15,TNFRSF25,8.510781393798881e-4
Bcell,Macrophage,TNN,ITGB1,0.008325826442351938
Bcell,Macrophage,TNN,SDC1,0.008173574184878686
Bcell,Macrophage,VCAM1,ITGB1,0.07353239388630094
Bcell,Macrophage,VCAM1,ITGB7,0.007579524127550968
Endothelial,Macrophage,ANGPT2,ITGB1,0.004013774045089612
Endothelial,Macrophage,ANGPT2,ITGA5,0.0011688968482299756
Endothelial,Macrophage,COL4A2,ITGB1,0.1484474485056619
Endothelial,Macrophage,COL4A2,SDC4,0.17135540905815863
Endothelial,Macrophage,COL4A2,ITGAV,0.06954914779908285
Endothelial,Macrophage,COL4A2,SDC1,0.14611035981472842
Endothelial,Macrophage,COL4A2,CD44,0.1344078932841088
Endothelial,Macrophage,CX3CL1,ITGAV,0.005157181356006512
Endothelial,Macrophage,DUSP18,ITGB1,0
Endothelial,Macrophage,DUSP18,ITGA6,0
Endothelial,Macrophage,EFNB1,ERBB2,0.011652276040097583
Endothelial,Macrophage,HBEGF,ERBB2,0.01452303843691999
Endothelial,Macrophage,HBEGF,CD44,0.011823957430547101
Endothelial,Macrophage,HSPG2,ITGB1,0.18098745783166562
Endothelial,Macrophage,HSPG2,SDC1,0.17824530671189331
Endothelial,Macrophage,ICAM1,ITGB2,0.0423037476688303
Endothelial,Macrophage,ICAM1,ITGAL,0.013822479332561066
Endothelial,Macrophage,ICAM1,IL2RA,0.0010819207085587185
Endothelial,Macrophage,ICAM2,ITGB2,0.03411107046231036
Endothelial,Macrophage,ICAM2,ITGAL,0.011081749965374758
Endothelial,Macrophage,ICAM3,ITGB2,0.03239334305345918
Endothelial,Macrophage,ICAM3,ITGAL,0.010511087473202434
Endothelial,Macrophage,IL15,IL2RA,3.2563808018627743e-4
Endothelial,Macrophage,IL15,IL2RG,0.0055476048613805765
Endothelial,Macrophage,IL6,IL6ST,0
Endothelial,Macrophage,JAM2,ITGB1,0.04859065127762123
Endothelial,Macrophage,JAM2,ITGAV,0.021429619694624
Endothelial,Macrophage,JAM3,ITGB2,0.021075321625930753
Endothelial,Macrophage,LGALS9,CD44,0.06604854568185009
Endothelial,Macrophage,PDGFB,ITGAV,0.0070574761005639695
Endothelial,Macrophage,PDGFB,S1PR1,0.0011789770897314505
Endothelial,Macrophage,PGF,NRP1,0.004189870704313181
Endothelial,Macrophage,PROS1,AXL,0.00989506255156152
Endothelial,Macrophage,SELE,CD44,0.05190773575074984
Endothelial,Macrophage,SELPLG,ITGB2,0.02809733530833248
Endothelial,Macrophage,SEMA6D,PLXNA1,0
Endothelial,Macrophage,SNCA,LAG3,5.405696664633619e-4
Endothelial,Macrophage,TFPI,SDC4,0.03524279875264568
Endothelial,Macrophage,TNXB,ITGB1,0.062471778350761405
