Sender,Receiver,Ligand,Receptor,LRscore
Bcell,Macrophage,ADAM17,ITGB1,0
Bcell,Macrophage,ADAM17,ITGA5,0
Bcell,Macrophage,ANGPT1,ITGB1,0
Bcell,Macrophage,ANGPT1,ITGA5,0
Bcell,Macrophage,ANGPT2,ITGB1,0
Bcell,Macrophage,ANGPT2,ITGA5,0
Bcell,Macrophage,ANGPTL1,ITGB1,0
Bcell,Macrophage,CCL13,CCR5,0
Bcell,Macrophage,CD14,ITGB1,0.028208000134615423
Bcell,Macrophage,COL4A3,ITGB1,0
Bcell,Macrophage,COL4A3,SDC1,0
Bcell,Macrophage,CTSG,F2RL2,0
Bcell,Macrophage,EBI3,IL27RA,2.140981430093635e-4
Bcell,Macrophage,F10,ITGAM,0
Bcell,Macrophage,F13A1,ITGB1,0.007996025540769544
Bcell,Macrophage,FASLG,TNFRSF6B,0
Bcell,Macrophage,FCER2,ITGAM,0
Bcell,Macrophage,FREM1,ITGB1,0
Bcell,Macrophage,HGF,SDC1,0
Bcell,Macrophage,HGF,SDC2,0
Bcell,Macrophage,HP,ITGAM,0
Bcell,Macrophage,HP,CD163,0
Bcell,Macrophage,ICAM2,ITGAM,0.0011676014988988095
Bcell,Macrophage,ICAM2,ITGAL,0.0024826185272549687
Bcell,Macrophage,ICAM3,ITGAL,0.00749013686686025
Bcell,Macrophage,IGF1,ITGA6,0
Bcell,Macrophage,IL16,CCR5,0.0025392139430466874
Bcell,Macrophage,JAM2,ITGB1,0.004957251431707541
Bcell,Macrophage,LAMA1,ITGB1,0
Bcell,Macrophage,LAMA1,ITGA6,0
Bcell,Macrophage,LAMA1,SDC2,0
Bcell,Macrophage,LAMA2,ITGB1,0.006883637168304487
Bcell,Macrophage,LAMA2,ITGA6,6.52783620125459e-4
Bcell,Macrophage,LAMC3,ITGB1,0
Bcell,Macrophage,LAMC3,ITGA6,0
Bcell,Macrophage,LGALS9,HAVCR2,0.004588997211150743
Bcell,Macrophage,NID1,ITGB1,0
Bcell,Macrophage,PLA2G2A,ITGB1,0
Bcell,Macrophage,PLA2G2A,ITGA5,0
Bcell,Macrophage,SELPLG,ITGAM,0.002937135474964094
Bcell,Macrophage,SEMA3D,NRP2,0
Bcell,Macrophage,SEMA4D,CD72,0.0015866867809955785
Bcell,Macrophage,SEMA7A,ITGB1,0.003982147913148793
Bcell,Macrophage,SLIT2,SDC1,0.003921955812055868
Bcell,Macrophage,SLIT2,APP,0.0029419994328700435
Bcell,Macrophage,TNFSF14,TNFRSF6B,0
Bcell,Macrophage,TNFSF15,TNFRSF6B,0
Bcell,Macrophage,TNFSF15,TNFRSF25,0
Bcell,Macrophage,TNN,ITGB1,0
Bcell,Macrophage,TNN,SDC1,0
Bcell,Macrophage,VCAM1,ITGB1,0.01773290658677025
Bcell,Macrophage,VCAM1,ITGB7,0.0017187853365239634
Endothelial,Macrophage,ANGPT2,ITGB1,0.0014887368313850936
Endothelial,Macrophage,ANGPT2,ITGA5,4.397774849592445e-4
Endothelial,Macrophage,COL4A2,ITGB1,0.0554888338718371
Endothelial,Macrophage,COL4A2,SDC4,0.06416413549019517
Endothelial,Macrophage,COL4A2,ITGAV,0.02583973608052677
Endothelial,Macrophage,COL4A2,SDC1,0.05476192297984048
Endothelial,Macrophage,COL4A2,CD44,0.05023006883815089
Endothelial,Macrophage,CX3CL1,ITGAV,0.0018992999184460038
Endothelial,Macrophage,DUSP18,ITGB1,0
Endothelial,Macrophage,DUSP18,ITGA6,0
Endothelial,Macrophage,EFNB1,ERBB2,0
Endothelial,Macrophage,HBEGF,ERBB2,0.005375908038530001
Endothelial,Macrophage,HBEGF,CD44,0.004384052980512286
Endothelial,Macrophage,HSPG2,ITGB1,0.06751865802359003
Endothelial,Macrophage,HSPG2,SDC1,0.06666740043443004
Endothelial,Macrophage,ICAM1,ITGB2,0.015662360063994688
Endothelial,Macrophage,ICAM1,ITGAL,0.005082697413837386
Endothelial,Macrophage,ICAM1,IL2RA,3.7265521242245934e-4
Endothelial,Macrophage,ICAM2,ITGB2,0.010791404445408215
Endothelial,Macrophage,ICAM2,ITGAL,0.0034699073163341728
Endothelial,Macrophage,ICAM3,ITGB2,0.012291835334085495
Endothelial,Macrophage,ICAM3,ITGAL,0.003963546783597344
Endothelial,Macrophage,IL15,IL2RA,1.1215612455037226e-4
Endothelial,Macrophage,IL15,IL2RG,0.0020214163534788745
Endothelial,Macrophage,IL6,IL6ST,0
Endothelial,Macrophage,JAM2,ITGB1,0.016433642387221094
Endothelial,Macrophage,JAM2,ITGAV,0.007178688568131975
Endothelial,Macrophage,JAM3,ITGB2,0.007495632137520061
Endothelial,Macrophage,LGALS9,CD44,0.027022221628746058
Endothelial,Macrophage,PDGFB,ITGAV,0
Endothelial,Macrophage,PDGFB,S1PR1,3.744971836101591e-4
Endothelial,Macrophage,PGF,NRP1,0.0014120120496970742
Endothelial,Macrophage,PROS1,AXL,0.0030877844518718348
Endothelial,Macrophage,SELE,CD44,0.01630288825116587
Endothelial,Macrophage,SELPLG,ITGB2,0.010099866221022841
Endothelial,Macrophage,SEMA6D,PLXNA1,0
Endothelial,Macrophage,SNCA,LAG3,0
Endothelial,Macrophage,TFPI,SDC4,0.011481853466295116
Endothelial,Macrophage,TNXB,ITGB1,0.019481655881740837
Endothelial,Macrophage,TNXB,SDC4,0.02293605540693934
Endothelial,Macrophage,TNXB,ITGAV,0.008551489464802981
Endothelial,Macrophage,TNXB,SDC1,0.01919778863050927
Endothelial,Macrophage,VCAM1,ITGB1,0.011629225967749948
Endothelial,Macrophage,VCAM1,ITGB7,0.0010827314648290502
Endothelial,Macrophage,VCAM1,ITGB2,0.012715393118140393
Endothelial,Macrophage,VWF,ITGAV,0.03485668802916315
Endothelial,Stroma,DUSP18,CD151,0
Endothelial,Stroma,ESAM,ESAM,0.004019436604074545
Endothelial,Stroma,HBEGF,CD82,0.0010777390858982545
Endothelial,Stroma,SELE,GLG1,0.013680878348628184
Endothelial,Stroma,SELPLG,ESAM,0.0012549197854546362
Macrophage,Endothelial,FASLG,TNFRSF6B,0
Macrophage,Endothelial,HBEGF,CD9,0
Macrophage,Endothelial,KLRB1,CLEC2D,3.630349416909872e-4
Malignant,Endothelial,APP,CAV1,0.025447022220043157
Malignant,Endothelial,CDH1,LRP5,0.010677297153369363
Malignant,Endothelial,CDH1,CDH1,0
Malignant,Endothelial,CDH1,PTPRM,0.019557384816457565
Malignant,Endothelial,MDK,PTPRB,0.019452858513085026
Malignant,Endothelial,PTN,PTPRB,0
Malignant,Endothelial,WNT3,LRP5,7.068335721547801e-4
Malignant,Endothelial,WNT5A,LRP5,0
Malignant,Endothelial,WNT7B,LRP5,3.1557247073103517e-4
Malignant,Stroma,ADAM15,ITGB1,0
Malignant,Stroma,ADAM15,ITGA5,0.0625856311747619
Malignant,Stroma,ADAM15,ITGAV,0.07731016994411624
Malignant,Stroma,ADAM17,ITGB1,0.019939112827127004
Malignant,Stroma,ADAM17,ITGA5,0.007734754195927698
Malignant,Stroma,ADAM17,NOTCH1,0
Malignant,Stroma,ADAM9,ITGB1,0.04117998856411421
Malignant,Stroma,ADAM9,ITGAV,0.02027216023751044
Malignant,Stroma,ADAM9,ITGB5,0.03632546235126279
Malignant,Stroma,ALCAM,NRP1,0.028124778986694444
Malignant,Stroma,ANG,PLXNB2,0.037384944874165334
Malignant,Stroma,APP,CAV1,0.022541807251219126
Malignant,Stroma,APP,CD74,0.2595452594281769
Malignant,Stroma,APP,NCSTN,0
Malignant,Stroma,AZGP1,ITGAV,0.10338189697913851
Malignant,Stroma,B2M,HLA-F,0
Malignant,Stroma,BMP4,ACVR2A,0
Malignant,Stroma,BMP4,RGMB,2.1560123854149877e-5
Malignant,Stroma,CADM1,CADM1,0
Malignant,Stroma,CALM1,PTPRA,0
Malignant,Stroma,CALR,ITGAV,0.11421330470723345
Malignant,Stroma,CALR,HLA-F,0
Malignant,Stroma,CCL5,SDC4,0
Malignant,Stroma,CCL5,SDC1,0
Malignant,Stroma,CD226,PVR,0
Malignant,Stroma,CD47,SIRPA,0
Malignant,Stroma,CD59,CD2,0.051379052553033905
Malignant,Stroma,CDH1,ITGB1,0.17839492286676095
Malignant,Stroma,CDH1,LRP5,0
Malignant,Stroma,CDH1,ERBB3,0
Malignant,Stroma,CDH1,CDH1,0
Malignant,Stroma,CGA,SIRPA,0
Malignant,Stroma,COL4A5,ITGB1,0.003406085446466748
Malignant,Stroma,COL4A5,SDC4,0.003898811033021069
Malignant,Stroma,COL4A5,ITGAV,0.0016414435206419799
Malignant,Stroma,COL4A5,ITGA1,2.9417796080319494e-4
Malignant,Stroma,COL4A5,SDC1,0.0034256692546469443
Malignant,Stroma,COL4A5,ITGA11,0
Malignant,Stroma,COL4A5,CD47,0.0017770697397582879
Malignant,Stroma,COL7A1,ITGB1,0.023753650034539345
Malignant,Stroma,COL9A2,ITGB1,0.10982060932581535
Malignant,Stroma,COL9A2,SDC4,0
Malignant,Stroma,COL9A2,ITGAV,0.05626197740269619
Malignant,Stroma,COL9A2,ITGA1,0
Malignant,Stroma,COL9A2,SDC1,0.11037936693365638
Malignant,Stroma,COL9A2,ITGA11,0
Malignant,Stroma,COL9A3,ITGB1,0
Malignant,Stroma,COL9A3,SDC4,0
Malignant,Stroma,COL9A3,ITGAV,0
Malignant,Stroma,COL9A3,ITGA1,0
Malignant,Stroma,COL9A3,SDC1,0
Malignant,Stroma,COL9A3,ITGA11,0
Malignant,Stroma,CTSG,F2RL2,0
Malignant,Stroma,CXCL14,CXCR4,0.06534736436122526
Malignant,Stroma,DAG1,LAMA4,0.03045904396944841
Malignant,Stroma,ECM1,ITGB4,0
Malignant,Stroma,EDN1,EDNRA,3.2702023652673973e-4
Malignant,Stroma,F11R,ITGB2,0.06585078307368449
Malignant,Stroma,F11R,ITGAL,0
Malignant,Stroma,FARP2,PLXNA1,0.0058024427295536
Malignant,Stroma,FARP2,PLXNA3,0.005286151952641395
Malignant,Stroma,GDF11,ACVR2A,0
Malignant,Stroma,GPC3,CD81,0.06742829880564144
Malignant,Stroma,GPI,AMFR,0
Malignant,Stroma,HLA-A,APLP2,0
Malignant,Stroma,HMGB1,SDC1,0
Malignant,Stroma,ICAM3,ITGB2,0.018669473542081847
Malignant,Stroma,ICAM3,ITGAL,0
Malignant,Stroma,JAG2,NOTCH1,0
Malignant,Stroma,JAG2,NOTCH2,0.01596202685284485
Malignant,Stroma,JAG2,NOTCH3,0.027400986126645155
