Sender,Receiver,Ligand,Receptor,LRscore,all
Malignant,Macrophage,TNFSF10,ENO1,15.610555729238866,Malignant_TNFSF10_Macrophage_ENO1
Malignant,Macrophage,TNFSF10,CD63,18.335544381232097,Malignant_TNFSF10_Macrophage_CD63
Malignant,Stroma,CD9,IL6ST,17.064029692713255,Malignant_CD9_Stroma_IL6ST
Malignant,Macrophage,CD9,ENO1,17.35199035746178,Malignant_CD9_Macrophage_ENO1
Malignant,Macrophage,CD9,CD63,20.337199019028187,Malignant_CD9_Macrophage_CD63
Malignant,Stroma,GNAS,IL6ST,18.512683978448468,Malignant_GNAS_Stroma_IL6ST
Malignant,Macrophage,GNAS,ENO1,18.633667666364037,Malignant_GNAS_Macrophage_ENO1
Malignant,Macrophage,GNAS,CD63,21.855446547693667,Malignant_GNAS_Macrophage_CD63
Malignant,Stroma,HSPA1A,IL6ST,17.346256755516805,Malignant_HSPA1A_Stroma_IL6ST
Malignant,Macrophage,HSPA1A,ENO1,17.775252237969063,Malignant_HSPA1A_Macrophage_ENO1
Malignant,Macrophage,HSPA1A,CD63,20.838570471336656,Malignant_HSPA1A_Macrophage_CD63
Malignant,Stroma,ARF1,IL6ST,17.99415971207427,Malignant_ARF1_Stroma_IL6ST
Malignant,Macrophage,ARF1,ENO1,17.984820092910507,Malignant_ARF1_Macrophage_ENO1
Malignant,Macrophage,ARF1,CD63,21.090763733318862,Malignant_ARF1_Macrophage_CD63
Malignant,Stroma,UBA52,IL6ST,20.25973043685898,Malignant_UBA52_Stroma_IL6ST
Malignant,Macrophage,UBA52,ENO1,20.365372378259707,Malignant_UBA52_Macrophage_ENO1
Malignant,Macrophage,UBA52,CD63,23.901266661626867,Malignant_UBA52_Macrophage_CD63
Malignant,Stroma,HLA-C,IL6ST,21.10544210959373,Malignant_HLA-C_Stroma_IL6ST
Malignant,Macrophage,HLA-C,ENO1,22.33552904106726,Malignant_HLA-C_Macrophage_ENO1
Malignant,Macrophage,HLA-C,CD63,26.226910492542377,Malignant_HLA-C_Macrophage_CD63
Malignant,Bcell,HLA-B,CD74,42.81729859253317,Malignant_HLA-B_Bcell_CD74
Malignant,Macrophage,HLA-B,CD74,40.818649088002815,Malignant_HLA-B_Macrophage_CD74
Malignant,Stroma,HLA-B,CD74,37.64572576301877,Malignant_HLA-B_Stroma_CD74
Malignant,Stroma,HLA-B,IL6ST,23.917552014318776,Malignant_HLA-B_Stroma_IL6ST
Malignant,Macrophage,HLA-B,ENO1,25.414811174216805,Malignant_HLA-B_Macrophage_ENO1
Malignant,Macrophage,HLA-B,CD63,29.84157658322686,Malignant_HLA-B_Macrophage_CD63
Malignant,Stroma,BST2,IL6ST,17.390091959584,Malignant_BST2_Stroma_IL6ST
Malignant,Macrophage,BST2,ENO1,17.61332733425039,Malignant_BST2_Macrophage_ENO1
Malignant,Macrophage,BST2,CD63,20.653187682830467,Malignant_BST2_Macrophage_CD63
