Feature,Normalized.Dispersion
ENSG00000238009,-0.0016000665910762002
ENSG00000241860,nan
ENSG00000286448,-0.2529133805253192
ENSG00000229905,0.6004092576726183
ENSG00000237491,-0.6433285121270751
ENSG00000177757,3.888558965526753
ENSG00000228794,-1.0428005489289078
ENSG00000225880,-0.05621928232229525
ENSG00000230368,1.1473315963053619
ENSG00000272438,nan
ENSG00000230699,-1.369852144543967
ENSG00000241180,nan
ENSG00000223764,0.8669103965153163
ENSG00000187634,1.2293385994964168
ENSG00000188976,2.0885149483172785
ENSG00000187961,-0.3504937615702041
ENSG00000187583,1.0104311963533472
ENSG00000187642,-1.484272139410042
ENSG00000272512,0.736647152165234
ENSG00000188290,-0.5909956803335982
ENSG00000187608,0.48317864443868264
ENSG00000224969,nan
ENSG00000188157,-1.397965100075253
ENSG00000237330,-1.079792804149126
ENSG00000131591,0.04619884801223687
ENSG00000223823,0.7896668881246145
ENSG00000272141,1.040128035862744
ENSG00000205231,nan
ENSG00000162571,-0.21224607338288176
ENSG00000186891,2.309755360125809
ENSG00000186827,0.9792807547352222
ENSG00000078808,-0.2829242652254626
ENSG00000176022,-0.5666206078385752
ENSG00000184163,2.0502621390358304
ENSG00000260179,0.1359820959933279
ENSG00000160087,1.7921607569853837
ENSG00000230415,0.3571583264461901
ENSG00000162572,0.2749819930474008
ENSG00000131584,1.7681820833853907
ENSG00000169972,-1.0562156156568703
ENSG00000127054,0.01645833906828466
ENSG00000224051,2.1640180506249593
ENSG00000169962,0.19852529542419703
ENSG00000107404,0.6870000218483294
ENSG00000162576,5.8299704244904165
ENSG00000175756,1.4334094913278004
ENSG00000221978,1.9772277126283795
ENSG00000224870,-0.9602773376395154
ENSG00000242485,-1.7319001643204683
ENSG00000272455,-1.5501152684896329
ENSG00000235098,0.2588577041675836
ENSG00000225285,-0.8137856085803155
ENSG00000179403,3.0125356214322663
ENSG00000215915,0.7759530963195448
ENSG00000160072,0.1485170829950088
ENSG00000197785,2.2878717817668153
ENSG00000205090,0.533259381148129
ENSG00000160075,-0.764976656532723
ENSG00000215014,-0.6108555006226402
ENSG00000228594,1.1359128783739076
ENSG00000286989,-1.2391135896818748
ENSG00000272106,-1.73538345192379
ENSG00000197530,2.3175928383643405
ENSG00000189409,5.998154727406734
ENSG00000248333,2.8686818816653017
ENSG00000272004,-0.6080306919144075
ENSG00000189339,-0.03264265130244634
ENSG00000008128,1.5314367558654436
ENSG00000215790,-1.6604211249906236
ENSG00000008130,0.1554837601424663
ENSG00000078369,-0.25754754717242956
ENSG00000231050,-0.9625583036396812
ENSG00000169885,-0.5779561506604174
ENSG00000178821,1.745424617213056
ENSG00000142609,-0.7078501188028948
ENSG00000233542,-1.430142410633693
ENSG00000187730,0.17483752893918103
ENSG00000226969,4.447500880684235
ENSG00000067606,-0.5997825349488797
ENSG00000271806,nan
ENSG00000182873,3.1422000114616333
ENSG00000162585,2.8588909151091464
ENSG00000234396,-0.7114868962668555
ENSG00000157933,2.487726782766389
ENSG00000287356,-1.838951106627205
