"gene","Bcell","Endothelial","Macrophage","Malignant","Stroma","Tcell"
"FCER2","0.349904731993483","0.00115509768550882","0.0205332133851161","0.00580727494484488","0.00376835149192567","0.00072123549195892"
"SELL","1.62489206969118","0.559244112003298","0.487224690928176","0.18349780529773","0.00265271469080514","2.31311116024217"
"CXCL1","0.079753630578427","0.00201034208501892","0.0186713712151305","0.0134285125045037","0.0172003569273753","0.0387930973297976"
"LTB","5.34938816941063","0.00128951635315633","0.819303771940843","0.673021018932359","0.156052470895441","8.06537600443853"
"CCL21","2.65002405806356","1.85837132770273","0.0190672537763405","0.0857038671228674","0.558951245775945","2.72222222222222"
"IL16","1.43448320735316","0.296931604669634","0.596087795838525","0.16159313036232","0.291631343461796","2.92581355983892"
"SLAMF1","0.387431421285217","0.000748286186666554","0.0901879648318015","0.0629042631781119","0.00471135743427013","0.25062890913122"
"ITGA4","1.28299070000287","1.05502382179288e-05","0.534628411340814","0.173928633045544","0.243504550617332","1.25654739206524"
"CCL19","9.04288073289788","4.89064334950133e-05","0.205415218431431","0.492484861812598","1.18246692625291","5.84400921245498"
"HLA-DOA","1.08661304838187","0.400379022764797","0.704024621503955","0.212673588644488","0.029781804222402","0.0143528357808635"
"UTS2B","0.0307611612564023","0","0.000922460698454099","0.000680898070298882","0","0.0593520829079535"
"NRXN3","0.160582409177154","0.0148814975468115","0.0023008797909393","0.0214630840847937","0.00783843197999715","0"
"ICAM3","1.51559878047722","0.521827822495063","0.542901780588538","0.539951073034197","0.0946228002633829","0.525479654591343"
"HLA-DOB","0.497233050116431","0.000344708063526328","0.0842610581215698","0.054416806022777","0.0111515732617699","0.000876990547609765"
"MRC1","0.350313815149003","0.288896026602447","0.435898617535273","0.106694768866308","0.0151046234924708","0.0724452409566864"
"LCK","0.742827906438927","0.0038498058613024","0.368292215208353","0.272457246110642","0.0414401053130762","5.24719484394076"
"SLAMF6","0.205766557715203","0.00023451791860707","0.117257087133662","0.0456345132338613","0.0300773558498126","1.64752573974112"
"CD22","1.1972962654416","0.000107091445486088","0.140665232841321","0.173176191876606","0.0268412686123134","0.00207854354755516"
"ADAM28","0.7154713203722","0.000738705742517749","0.243153276758393","0.0857645027527438","0.0266709708311712","0.0214944026045011"
"LY86","0.592697570994195","0.000463821992368458","0.420430852994625","0.138248394624447","0.0360537606978644","0.000874054244817833"
"ITGB7","0.63739103385263","0.000615032553911405","0.287442179042547","0.152667771539203","0.0342977350750514","1.46603760713636"
"CD200R1","0.0186331619303672","0.000108470080702584","0.0726061044029896","0.0235168534989695","0.0105923904948879","0.429268165682561"
"LAMA2","0.239581464061784","5.30393708919412e-07","0.0400472699211659","0.0368737449322098","0.222648636446557","0.0722613165872702"
"BTLA","0.241094075847271","0.000761634775069637","0.00172336674803291","0.0190401587965243","0.0100185089019891","0.171591943905039"
"COL4A3","0.0999880203052706","0","0.00110371436320536","0.00476450928128162","0.00471952174294316","3.94567603560314e-05"
"TNFSF14","0.127351551945303","0.0442595972569221","0.0297529092122824","0.0342182933176322","0.0138463534824284","0.17264716126583"
"SELPLG","0.685918296853758","0.514044600378026","0.954186026125943","0.299718531911685","0.0134576439590556","2.091612014214"
"KLRB1","0.0625404763470535","0.000978705865607159","0.153970724373874","0.0419616186657491","0.0116055051573693","0.443888162522863"
"LGALS9","2.15950993888794","1.55812307521019","1.80429415064631","0.743123784214176","0.565923069303497","0.550892527480563"
"CFP","0.30499459223725","0.0643709941415768","0.069935481546925","0.0262728720962371","0.0129762411593292","0.176589558091424"
"VCAM1","0.782194248340739","0.463257404489921","0.125440993562789","0.199722066488991","0.427505874624107","0.9547267371339"
"CD1D","0.220000094158022","8.08654260655639e-05","0.0881667317794365","0.0296193395459294","0.0142322993861171","0.00134576757338422"
"CXCL3","0.0773497196513794","0","0.0156814132697335","0.0112862009510176","0.0022317821815871","0.0439410639135996"
"SEMA4D","1.79600345315664","0.000439502708556215","0.696718998507846","0.617077766666566","0.0721337659190553","3.44026795217013"
"XCL2","0.0551743585085685","4.46082786817552e-05","0.0275901773948396","0.0502205854961418","0.0114372082085396","0"
"TNFRSF14","2.28600188794193","1.27410093160787","1.6171355293002","1.18278049081236","0.700639211945361","2.89160929781615"
"ICOS","0.0753411505617886","0.00274150560188293","0.0359413616417652","0.0658838927517839","0.0147924466689015","1.11077329176788"
