Ligand,Receptor,TF,Target
ADAM17,ITGB1,NFKB1,ACP5
ADAM17,ITGB1,NFKB1,ADORA2A
ADAM17,ITGB1,NFKB1,BGN
ADAM17,ITGB1,NFKB1,CDH1
ADAM17,ITGB1,NFKB1,COL1A1
ADAM17,ITGB1,NFKB1,COL1A2
ADAM17,ITGB1,NFKB1,CXCL12
ADAM17,ITGB1,NFKB1,FBP1
ADAM17,ITGB1,NFKB1,IL1R1
ADAM17,ITGB1,NFKB1,OAS2
ADAM17,ITGB1,NFKB1,RARA
ADAM17,ITGB1,NFKB1,TAP1
ADAM17,ITGB1,NFKB1,TNFAIP2
ADAM17,ITGB1,NFKB1,TSC22D3
ADAM17,ITGB1,RELA,ADORA2A
ADAM17,ITGB1,RELA,BGN
ADAM17,ITGB1,RELA,CDH1
ADAM17,ITGB1,RELA,COL1A1
ADAM17,ITGB1,RELA,COL1A2
ADAM17,ITGB1,RELA,CXCL12
ADAM17,ITGB1,RELA,FBP1
ADAM17,ITGB1,RELA,IGFBP5
ADAM17,ITGB1,RELA,IL1R1
ADAM17,ITGB1,RELA,RARA
ADAM17,ITGB1,RELA,TAP1
ADAM17,ITGB1,RELA,TNFAIP2
ADAM17,ITGB1,RELA,TSC22D3
ADAM17,ITGA5,NFKB1,ACP5
ADAM17,ITGA5,NFKB1,ADORA2A
ADAM17,ITGA5,NFKB1,BGN
ADAM17,ITGA5,NFKB1,CDH1
ADAM17,ITGA5,NFKB1,COL1A1
ADAM17,ITGA5,NFKB1,COL1A2
ADAM17,ITGA5,NFKB1,CXCL12
ADAM17,ITGA5,NFKB1,FBP1
ADAM17,ITGA5,NFKB1,IL1R1
ADAM17,ITGA5,NFKB1,OAS2
ADAM17,ITGA5,NFKB1,RARA
ADAM17,ITGA5,NFKB1,TAP1
ADAM17,ITGA5,NFKB1,TNFAIP2
ADAM17,ITGA5,NFKB1,TSC22D3
ADAM17,ITGA5,RELA,ADORA2A
ADAM17,ITGA5,RELA,BGN
ADAM17,ITGA5,RELA,CDH1
ADAM17,ITGA5,RELA,COL1A1
ADAM17,ITGA5,RELA,COL1A2
ADAM17,ITGA5,RELA,CXCL12
ADAM17,ITGA5,RELA,FBP1
ADAM17,ITGA5,RELA,IGFBP5
ADAM17,ITGA5,RELA,IL1R1
ADAM17,ITGA5,RELA,RARA
ADAM17,ITGA5,RELA,TAP1
ADAM17,ITGA5,RELA,TNFAIP2
ADAM17,ITGA5,RELA,TSC22D3
ANGPT1,ITGB1,NFKB1,ACP5
ANGPT1,ITGB1,NFKB1,ADORA2A
ANGPT1,ITGB1,NFKB1,BGN
ANGPT1,ITGB1,NFKB1,CDH1
ANGPT1,ITGB1,NFKB1,COL1A1
ANGPT1,ITGB1,NFKB1,COL1A2
ANGPT1,ITGB1,NFKB1,CXCL12
ANGPT1,ITGB1,NFKB1,FBP1
ANGPT1,ITGB1,NFKB1,IL1R1
ANGPT1,ITGB1,NFKB1,OAS2
ANGPT1,ITGB1,NFKB1,RARA
ANGPT1,ITGB1,NFKB1,TAP1
ANGPT1,ITGB1,NFKB1,TNFAIP2
ANGPT1,ITGB1,NFKB1,TSC22D3
ANGPT1,ITGB1,RELA,ADORA2A
ANGPT1,ITGB1,RELA,BGN
ANGPT1,ITGB1,RELA,CDH1
ANGPT1,ITGB1,RELA,COL1A1
ANGPT1,ITGB1,RELA,COL1A2
ANGPT1,ITGB1,RELA,CXCL12
ANGPT1,ITGB1,RELA,FBP1
ANGPT1,ITGB1,RELA,IGFBP5
ANGPT1,ITGB1,RELA,IL1R1
ANGPT1,ITGB1,RELA,RARA
ANGPT1,ITGB1,RELA,TAP1
ANGPT1,ITGB1,RELA,TNFAIP2
ANGPT1,ITGB1,RELA,TSC22D3
ANGPT1,ITGA5,NFKB1,ACP5
ANGPT1,ITGA5,NFKB1,ADORA2A
