Ligand,Receptor,TF,Target
ANGPT2,ITGB1,JUN,CLDN3
ANGPT2,ITGB1,JUN,CLDN4
ANGPT2,ITGB1,JUN,COX17
ANGPT2,ITGB1,JUN,ELF3
ANGPT2,ITGB1,JUN,KRT19
ANGPT2,ITGB1,JUN,KRT8
ANGPT2,ITGB1,JUN,SPDEF
ANGPT2,ITGB1,JUN,TFF1
ANGPT2,ITGB1,JUN,TFF3
ANGPT2,ITGB1,NFKB1,CDH1
ANGPT2,ITGB1,NFKB1,ELF3
ANGPT2,ITGB1,NFKB1,TFF1
ANGPT2,ITGB1,NFKB1,TFF3
ANGPT2,ITGB1,RELA,CDH1
ANGPT2,ITGB1,RELA,ELF3
ANGPT2,ITGB1,RELA,TFF1
ANGPT2,ITGB1,RELA,TFF3
ANGPT2,ITGA5,JUN,CLDN3
ANGPT2,ITGA5,JUN,CLDN4
ANGPT2,ITGA5,JUN,COX17
ANGPT2,ITGA5,JUN,ELF3
ANGPT2,ITGA5,JUN,KRT19
ANGPT2,ITGA5,JUN,KRT8
ANGPT2,ITGA5,JUN,SPDEF
ANGPT2,ITGA5,JUN,TFF1
ANGPT2,ITGA5,JUN,TFF3
ANGPT2,ITGA5,NFKB1,CDH1
ANGPT2,ITGA5,NFKB1,ELF3
ANGPT2,ITGA5,NFKB1,TFF1
ANGPT2,ITGA5,NFKB1,TFF3
ANGPT2,ITGA5,RELA,CDH1
ANGPT2,ITGA5,RELA,ELF3
ANGPT2,ITGA5,RELA,TFF1
ANGPT2,ITGA5,RELA,TFF3
COL4A2,ITGB1,JUN,CLDN3
COL4A2,ITGB1,JUN,CLDN4
COL4A2,ITGB1,JUN,COX17
COL4A2,ITGB1,JUN,ELF3
COL4A2,ITGB1,JUN,KRT19
COL4A2,ITGB1,JUN,KRT8
COL4A2,ITGB1,JUN,SPDEF
COL4A2,ITGB1,JUN,TFF1
COL4A2,ITGB1,JUN,TFF3
COL4A2,ITGB1,NFKB1,CDH1
COL4A2,ITGB1,NFKB1,ELF3
COL4A2,ITGB1,NFKB1,TFF1
COL4A2,ITGB1,NFKB1,TFF3
COL4A2,ITGB1,RELA,CDH1
COL4A2,ITGB1,RELA,ELF3
COL4A2,ITGB1,RELA,TFF1
COL4A2,ITGB1,RELA,TFF3
COL4A2,SDC4,ESR1,CALML5
COL4A2,SDC4,ESR1,CDH1
COL4A2,SDC4,ESR1,CLDN3
COL4A2,SDC4,ESR1,CLDN4
COL4A2,SDC4,ESR1,COX17
COL4A2,SDC4,ESR1,KRT19
COL4A2,SDC4,ESR1,KRT8
COL4A2,SDC4,ESR1,TFF1
COL4A2,SDC4,ESR1,TFF3
COL4A2,SDC4,JUN,CLDN3
COL4A2,SDC4,JUN,CLDN4
COL4A2,SDC4,JUN,COX17
COL4A2,SDC4,JUN,ELF3
COL4A2,SDC4,JUN,KRT19
COL4A2,SDC4,JUN,KRT8
COL4A2,SDC4,JUN,SPDEF
COL4A2,SDC4,JUN,TFF1
COL4A2,SDC4,JUN,TFF3
COL4A2,SDC4,NFKB1,CDH1
