Ligand,Receptor,TF,Target
APP,CAV1,APC,JUP
APP,CAV1,TCF7L2,JUP
CDH1,LRP5,APC,JUP
CDH1,LRP5,TCF7,JUP
CDH1,LRP5,TCF7L2,JUP
CDH1,CDH1,TCF7,JUP
CDH1,CDH1,TCF7L2,JUP
CDH1,PTPRM,APC,JUP
CDH1,PTPRM,TCF7,JUP
CDH1,PTPRM,TCF7L2,JUP
MDK,PTPRB,APC,JUP
MDK,PTPRB,TCF7,JUP
MDK,PTPRB,TCF7L2,JUP
PTN,PTPRB,APC,JUP
PTN,PTPRB,TCF7,JUP
PTN,PTPRB,TCF7L2,JUP
WNT3,LRP5,APC,JUP
WNT3,LRP5,TCF7,JUP
WNT3,LRP5,TCF7L2,JUP
WNT5A,LRP5,APC,JUP
WNT5A,LRP5,TCF7,JUP
WNT5A,LRP5,TCF7L2,JUP
WNT7B,LRP5,APC,JUP
WNT7B,LRP5,TCF7,JUP
WNT7B,LRP5,TCF7L2,JUP
