Ligand,Receptor,TF,Target
ADAM15,ITGB1,NFKB1,BTG2
ADAM15,ITGB1,NFKB1,CCL19
ADAM15,ITGB1,NFKB1,CHRD
ADAM15,ITGB1,NFKB1,GATA3
ADAM15,ITGB1,NFKB1,RAMP1
ADAM15,ITGB1,NFKB1,SERPINA3
ADAM15,ITGB1,RELA,BTG2
ADAM15,ITGB1,RELA,CCL19
ADAM15,ITGB1,RELA,GATA3
ADAM15,ITGB1,RELA,SERPINA3
ADAM15,ITGA5,NFKB1,BTG2
ADAM15,ITGA5,NFKB1,CCL19
ADAM15,ITGA5,NFKB1,CHRD
ADAM15,ITGA5,NFKB1,GATA3
ADAM15,ITGA5,NFKB1,RAMP1
ADAM15,ITGA5,NFKB1,SERPINA3
ADAM15,ITGA5,RELA,BTG2
ADAM15,ITGA5,RELA,CCL19
ADAM15,ITGA5,RELA,GATA3
ADAM15,ITGA5,RELA,SERPINA3
ADAM15,ITGAV,NFKB1,BTG2
ADAM15,ITGAV,NFKB1,CCL19
ADAM15,ITGAV,NFKB1,CHRD
ADAM15,ITGAV,NFKB1,GATA3
ADAM15,ITGAV,NFKB1,RAMP1
ADAM15,ITGAV,NFKB1,SERPINA3
ADAM15,ITGAV,RELA,BTG2
ADAM15,ITGAV,RELA,CCL19
ADAM15,ITGAV,RELA,GATA3
ADAM15,ITGAV,RELA,SERPINA3
ADAM17,ITGB1,NFKB1,BTG2
ADAM17,ITGB1,NFKB1,CCL19
ADAM17,ITGB1,NFKB1,CHRD
ADAM17,ITGB1,NFKB1,GATA3
ADAM17,ITGB1,NFKB1,RAMP1
ADAM17,ITGB1,NFKB1,SERPINA3
ADAM17,ITGB1,RELA,BTG2
ADAM17,ITGB1,RELA,CCL19
ADAM17,ITGB1,RELA,GATA3
ADAM17,ITGB1,RELA,SERPINA3
ADAM17,ITGA5,NFKB1,BTG2
ADAM17,ITGA5,NFKB1,CCL19
ADAM17,ITGA5,NFKB1,CHRD
ADAM17,ITGA5,NFKB1,GATA3
ADAM17,ITGA5,NFKB1,RAMP1
ADAM17,ITGA5,NFKB1,SERPINA3
ADAM17,ITGA5,RELA,BTG2
ADAM17,ITGA5,RELA,CCL19
ADAM17,ITGA5,RELA,GATA3
ADAM17,ITGA5,RELA,SERPINA3
