Ligand,Receptor,TF,Target
ADAM12,ITGB1,CTNNB1,PTPRF
ADAM12,ITGB1,CTNNB1,TGFBR2
ADAM12,ITGB1,NFKB1,FN1
ADAM12,ITGB1,NFKB1,IL1R1
ADAM12,ITGB1,NFKB1,MMP2
ADAM12,ITGB1,NFKB1,VCAN
ADAM12,ITGB1,RELA,FN1
ADAM12,ITGB1,RELA,IL1R1
ADAM12,ITGB1,RELA,MMP2
ADAM12,ITGB1,RELA,VCAN
ADAM12,SDC4,ABL1,CDKN1B
ADAM12,SDC4,ABL1,YWHAH
ADAM12,SDC4,AR,CDKN1B
ADAM12,SDC4,AR,FKBP4
ADAM12,SDC4,AR,FN1
ADAM12,SDC4,AR,GPRC5A
ADAM12,SDC4,AR,MLPH
ADAM12,SDC4,AR,MMP2
ADAM12,SDC4,AR,PTPRF
ADAM12,SDC4,AR,SPARC
ADAM12,SDC4,AR,TGFBR2
ADAM12,SDC4,AR,TUBA1C
ADAM12,SDC4,AR,VCAN
ADAM12,SDC4,AR,YWHAH
ADAM12,SDC4,CTNNB1,PTPRF
ADAM12,SDC4,CTNNB1,TGFBR2
ADAM12,SDC4,NFKB1,FN1
ADAM12,SDC4,NFKB1,IL1R1
ADAM12,SDC4,NFKB1,MMP2
ADAM12,SDC4,NFKB1,VCAN
ADAM12,SDC4,RELA,FN1
ADAM12,SDC4,RELA,IL1R1
ADAM12,SDC4,RELA,MMP2
ADAM12,SDC4,RELA,VCAN
ANGPT2,ITGB1,CTNNB1,PTPRF
ANGPT2,ITGB1,CTNNB1,TGFBR2
ANGPT2,ITGB1,NFKB1,FN1
ANGPT2,ITGB1,NFKB1,IL1R1
ANGPT2,ITGB1,NFKB1,MMP2
ANGPT2,ITGB1,NFKB1,VCAN
ANGPT2,ITGB1,RELA,FN1
ANGPT2,ITGB1,RELA,IL1R1
ANGPT2,ITGB1,RELA,MMP2
ANGPT2,ITGB1,RELA,VCAN
BMP2,BMPR1A,CTNNB1,PTPRF
BMP2,BMPR1A,CTNNB1,TGFBR2
BMP2,BMPR1A,ETS2,FKBP4
BMP2,BMPR1A,ETS2,GPRC5A
BMP2,BMPR1A,ETS2,MMP2
BMP2,BMPR1A,ETS2,TGFBR2
BMP2,BMPR1A,NFKB1,FN1
BMP2,BMPR1A,NFKB1,IL1R1
BMP2,BMPR1A,NFKB1,MMP2
BMP2,BMPR1A,NFKB1,VCAN
BMP2,BMPR1A,RELA,FN1
BMP2,BMPR1A,RELA,IL1R1
BMP2,BMPR1A,RELA,MMP2
BMP2,BMPR1A,RELA,VCAN
BMP2,BMPR1A,SKIL,FN1
BMP2,BMPR1A,SKIL,PTPRF
BMP2,BMPR1A,SMAD4,FKBP4
BMP2,BMPR1A,SMAD4,FN1
BMP2,BMPR1A,SMAD4,GPNMB
BMP2,BMPR1A,SMAD4,GPRC5A
BMP2,BMPR1A,SMAD4,PAFAH1B3
BMP2,BMPR1A,SMAD4,TGFBR2
BMP2,BMPR1A,SMURF2,FKBP4
BMP2,BMPR1A,SMURF2,TGFBR2
BMP2,ENG,CTNNB1,PTPRF
BMP2,ENG,CTNNB1,TGFBR2
BMP2,ENG,DAB2,TGFBR2
BMP2,ENG,ETS2,FKBP4
BMP2,ENG,ETS2,GPRC5A
BMP2,ENG,ETS2,MMP2
BMP2,ENG,ETS2,TGFBR2
BMP2,ENG,NFKB1,FN1
BMP2,ENG,NFKB1,IL1R1
BMP2,ENG,NFKB1,MMP2
BMP2,ENG,NFKB1,VCAN
BMP2,ENG,RELA,FN1
BMP2,ENG,RELA,IL1R1
BMP2,ENG,RELA,MMP2
BMP2,ENG,RELA,VCAN
BMP2,ENG,SKIL,FN1
BMP2,ENG,SKIL,PTPRF
BMP2,ENG,SMAD4,FKBP4
BMP2,ENG,SMAD4,FN1
BMP2,ENG,SMAD4,GPNMB
BMP2,ENG,SMAD4,GPRC5A
BMP2,ENG,SMAD4,PAFAH1B3
BMP2,ENG,SMAD4,TGFBR2
BMP2,ENG,SMURF2,FKBP4
BMP2,ENG,SMURF2,TGFBR2
BMP2,ENG,SP1,CDKN1B
BMP2,ENG,SP1,FN1
BMP2,ENG,SP1,LAMB2
BMP2,ENG,SP1,MMP2
BMP2,ENG,SP1,PAFAH1B3
BMP2,ENG,SP1,SERPING1
BMP2,ENG,SP1,TGFBR2
BMP2,ENG,SP1,TUBA1C
CD226,PVR,CTNNB1,PTPRF
CD226,PVR,CTNNB1,TGFBR2
CD226,PVR,NFKB1,FN1
CD226,PVR,NFKB1,IL1R1
CD226,PVR,NFKB1,MMP2
CD226,PVR,NFKB1,VCAN
CD226,PVR,RELA,FN1
CD226,PVR,RELA,IL1R1
CD226,PVR,RELA,MMP2
CD226,PVR,RELA,VCAN
CD40LG,ITGB1,CTNNB1,PTPRF
CD40LG,ITGB1,CTNNB1,TGFBR2
CD40LG,ITGB1,NFKB1,FN1
CD40LG,ITGB1,NFKB1,IL1R1
CD40LG,ITGB1,NFKB1,MMP2
CD40LG,ITGB1,NFKB1,VCAN
CD40LG,ITGB1,RELA,FN1
CD40LG,ITGB1,RELA,IL1R1
CD40LG,ITGB1,RELA,MMP2
CD40LG,ITGB1,RELA,VCAN
CD40LG,ITGAM,CTNNB1,PTPRF
CD40LG,ITGAM,CTNNB1,TGFBR2
CD40LG,ITGAM,NFKB1,FN1
CD40LG,ITGAM,NFKB1,IL1R1
CD40LG,ITGAM,NFKB1,MMP2
CD40LG,ITGAM,NFKB1,VCAN
CD40LG,ITGAM,RELA,FN1
CD40LG,ITGAM,RELA,IL1R1
CD40LG,ITGAM,RELA,MMP2
CD40LG,ITGAM,RELA,VCAN
CD40LG,ITGB2,CTNNB1,PTPRF
CD40LG,ITGB2,CTNNB1,TGFBR2
CD40LG,ITGB2,NFKB1,FN1
CD40LG,ITGB2,NFKB1,IL1R1
CD40LG,ITGB2,NFKB1,MMP2
CD40LG,ITGB2,NFKB1,VCAN
CD40LG,ITGB2,RELA,FN1
CD40LG,ITGB2,RELA,IL1R1
CD40LG,ITGB2,RELA,MMP2
CD40LG,ITGB2,RELA,VCAN
CD40LG,CD40,CTNNB1,PTPRF
CD40LG,CD40,CTNNB1,TGFBR2
CD40LG,CD40,MED1,YWHAH
CD40LG,CD40,NFKB1,FN1
CD40LG,CD40,NFKB1,IL1R1
CD40LG,CD40,NFKB1,MMP2
CD40LG,CD40,NFKB1,VCAN
CD40LG,CD40,RELA,FN1
CD40LG,CD40,RELA,IL1R1
CD40LG,CD40,RELA,MMP2
CD40LG,CD40,RELA,VCAN
CD40LG,CD40,SMAD4,FKBP4
CD40LG,CD40,SMAD4,FN1
CD40LG,CD40,SMAD4,GPNMB
CD40LG,CD40,SMAD4,GPRC5A
CD40LG,CD40,SMAD4,PAFAH1B3
CD40LG,CD40,SMAD4,TGFBR2
CD40LG,CD40,SP1,CDKN1B
CD40LG,CD40,SP1,FN1
CD40LG,CD40,SP1,LAMB2
CD40LG,CD40,SP1,MMP2
CD40LG,CD40,SP1,PAFAH1B3
CD40LG,CD40,SP1,SERPING1
CD40LG,CD40,SP1,TGFBR2
CD40LG,CD40,SP1,TUBA1C
CD40LG,CD40,TNFAIP3,YWHAH
CD40LG,TRAF3,CTNNB1,PTPRF
CD40LG,TRAF3,CTNNB1,TGFBR2
CD40LG,TRAF3,NFKB1,FN1
CD40LG,TRAF3,NFKB1,IL1R1
CD40LG,TRAF3,NFKB1,MMP2
CD40LG,TRAF3,NFKB1,VCAN
CD40LG,TRAF3,RELA,FN1
CD40LG,TRAF3,RELA,IL1R1
CD40LG,TRAF3,RELA,MMP2
CD40LG,TRAF3,RELA,VCAN
CD40LG,TRAF3,SMURF2,FKBP4
CD40LG,TRAF3,SMURF2,TGFBR2
CD40LG,TRAF3,TNFAIP3,YWHAH
CD40LG,TRAF3,VHL,CDKN1B
CD40LG,TRAF3,VHL,FN1
CD40LG,TRAF3,VHL,SPARC
CD96,PVR,CTNNB1,PTPRF
CD96,PVR,CTNNB1,TGFBR2
CD96,PVR,NFKB1,FN1
CD96,PVR,NFKB1,IL1R1
CD96,PVR,NFKB1,MMP2
CD96,PVR,NFKB1,VCAN
CD96,PVR,RELA,FN1
CD96,PVR,RELA,IL1R1
CD96,PVR,RELA,MMP2
CD96,PVR,RELA,VCAN
CFH,ITGAM,CTNNB1,PTPRF
CFH,ITGAM,CTNNB1,TGFBR2
CFH,ITGAM,NFKB1,FN1
CFH,ITGAM,NFKB1,IL1R1
CFH,ITGAM,NFKB1,MMP2
CFH,ITGAM,NFKB1,VCAN
CFH,ITGAM,RELA,FN1
CFH,ITGAM,RELA,IL1R1
CFH,ITGAM,RELA,MMP2
CFH,ITGAM,RELA,VCAN
COL4A3,ITGB1,CTNNB1,PTPRF
COL4A3,ITGB1,CTNNB1,TGFBR2
COL4A3,ITGB1,NFKB1,FN1
COL4A3,ITGB1,NFKB1,IL1R1
COL4A3,ITGB1,NFKB1,MMP2
COL4A3,ITGB1,NFKB1,VCAN
COL4A3,ITGB1,RELA,FN1
COL4A3,ITGB1,RELA,IL1R1
COL4A3,ITGB1,RELA,MMP2
COL4A3,ITGB1,RELA,VCAN
COL4A3,SDC4,ABL1,CDKN1B
COL4A3,SDC4,ABL1,YWHAH
COL4A3,SDC4,AR,CDKN1B
COL4A3,SDC4,AR,FKBP4
COL4A3,SDC4,AR,FN1
COL4A3,SDC4,AR,GPRC5A
COL4A3,SDC4,AR,MLPH
COL4A3,SDC4,AR,MMP2
COL4A3,SDC4,AR,PTPRF
COL4A3,SDC4,AR,SPARC
COL4A3,SDC4,AR,TGFBR2
COL4A3,SDC4,AR,TUBA1C
COL4A3,SDC4,AR,VCAN
COL4A3,SDC4,AR,YWHAH
COL4A3,SDC4,CTNNB1,PTPRF
COL4A3,SDC4,CTNNB1,TGFBR2
COL4A3,SDC4,NFKB1,FN1
COL4A3,SDC4,NFKB1,IL1R1
COL4A3,SDC4,NFKB1,MMP2
COL4A3,SDC4,NFKB1,VCAN
COL4A3,SDC4,RELA,FN1
COL4A3,SDC4,RELA,IL1R1
COL4A3,SDC4,RELA,MMP2
COL4A3,SDC4,RELA,VCAN
COL4A3,SDC1,ABL1,CDKN1B
COL4A3,SDC1,ABL1,YWHAH
COL4A3,SDC1,AR,CDKN1B
COL4A3,SDC1,AR,FKBP4
COL4A3,SDC1,AR,FN1
COL4A3,SDC1,AR,GPRC5A
COL4A3,SDC1,AR,MLPH
COL4A3,SDC1,AR,MMP2
COL4A3,SDC1,AR,PTPRF
COL4A3,SDC1,AR,SPARC
COL4A3,SDC1,AR,TGFBR2
COL4A3,SDC1,AR,TUBA1C
COL4A3,SDC1,AR,VCAN
COL4A3,SDC1,AR,YWHAH
COL4A3,SDC1,CTNNB1,PTPRF
COL4A3,SDC1,CTNNB1,TGFBR2
COL4A3,SDC1,NFKB1,FN1
COL4A3,SDC1,NFKB1,IL1R1
COL4A3,SDC1,NFKB1,MMP2
COL4A3,SDC1,NFKB1,VCAN
COL4A3,SDC1,RELA,FN1
COL4A3,SDC1,RELA,IL1R1
COL4A3,SDC1,RELA,MMP2
COL4A3,SDC1,RELA,VCAN
COL4A3,CD44,CTNNB1,PTPRF
COL4A3,CD44,CTNNB1,TGFBR2
COL4A3,CD44,NFKB1,FN1
COL4A3,CD44,NFKB1,IL1R1
COL4A3,CD44,NFKB1,MMP2
COL4A3,CD44,NFKB1,VCAN
COL4A3,CD44,RELA,FN1
COL4A3,CD44,RELA,IL1R1
COL4A3,CD44,RELA,MMP2
COL4A3,CD44,RELA,VCAN
COL4A3,CD44,SMAD4,FKBP4
COL4A3,CD44,SMAD4,FN1
COL4A3,CD44,SMAD4,GPNMB
COL4A3,CD44,SMAD4,GPRC5A
COL4A3,CD44,SMAD4,PAFAH1B3
COL4A3,CD44,SMAD4,TGFBR2
COL4A3,CD44,TWIST1,FN1
COL4A3,CD44,TWIST1,MMP2
COL9A3,ITGB1,CTNNB1,PTPRF
COL9A3,ITGB1,CTNNB1,TGFBR2
COL9A3,ITGB1,NFKB1,FN1
COL9A3,ITGB1,NFKB1,IL1R1
COL9A3,ITGB1,NFKB1,MMP2
COL9A3,ITGB1,NFKB1,VCAN
COL9A3,ITGB1,RELA,FN1
COL9A3,ITGB1,RELA,IL1R1
COL9A3,ITGB1,RELA,MMP2
COL9A3,ITGB1,RELA,VCAN
COL9A3,SDC4,ABL1,CDKN1B
COL9A3,SDC4,ABL1,YWHAH
COL9A3,SDC4,AR,CDKN1B
COL9A3,SDC4,AR,FKBP4
COL9A3,SDC4,AR,FN1
COL9A3,SDC4,AR,GPRC5A
COL9A3,SDC4,AR,MLPH
COL9A3,SDC4,AR,MMP2
COL9A3,SDC4,AR,PTPRF
COL9A3,SDC4,AR,SPARC
COL9A3,SDC4,AR,TGFBR2
COL9A3,SDC4,AR,TUBA1C
COL9A3,SDC4,AR,VCAN
COL9A3,SDC4,AR,YWHAH
COL9A3,SDC4,CTNNB1,PTPRF
COL9A3,SDC4,CTNNB1,TGFBR2
COL9A3,SDC4,NFKB1,FN1
COL9A3,SDC4,NFKB1,IL1R1
COL9A3,SDC4,NFKB1,MMP2
COL9A3,SDC4,NFKB1,VCAN
COL9A3,SDC4,RELA,FN1
COL9A3,SDC4,RELA,IL1R1
COL9A3,SDC4,RELA,MMP2
COL9A3,SDC4,RELA,VCAN
COL9A3,SDC1,ABL1,CDKN1B
COL9A3,SDC1,ABL1,YWHAH
COL9A3,SDC1,AR,CDKN1B
COL9A3,SDC1,AR,FKBP4
COL9A3,SDC1,AR,FN1
COL9A3,SDC1,AR,GPRC5A
COL9A3,SDC1,AR,MLPH
COL9A3,SDC1,AR,MMP2
COL9A3,SDC1,AR,PTPRF
COL9A3,SDC1,AR,SPARC
COL9A3,SDC1,AR,TGFBR2
COL9A3,SDC1,AR,TUBA1C
COL9A3,SDC1,AR,VCAN
COL9A3,SDC1,AR,YWHAH
COL9A3,SDC1,CTNNB1,PTPRF
COL9A3,SDC1,CTNNB1,TGFBR2
COL9A3,SDC1,NFKB1,FN1
COL9A3,SDC1,NFKB1,IL1R1
COL9A3,SDC1,NFKB1,MMP2
COL9A3,SDC1,NFKB1,VCAN
COL9A3,SDC1,RELA,FN1
COL9A3,SDC1,RELA,IL1R1
COL9A3,SDC1,RELA,MMP2
COL9A3,SDC1,RELA,VCAN
COL9A3,CD44,CTNNB1,PTPRF
COL9A3,CD44,CTNNB1,TGFBR2
COL9A3,CD44,NFKB1,FN1
COL9A3,CD44,NFKB1,IL1R1
COL9A3,CD44,NFKB1,MMP2
COL9A3,CD44,NFKB1,VCAN
COL9A3,CD44,RELA,FN1
COL9A3,CD44,RELA,IL1R1
COL9A3,CD44,RELA,MMP2
COL9A3,CD44,RELA,VCAN
COL9A3,CD44,SMAD4,FKBP4
COL9A3,CD44,SMAD4,FN1
COL9A3,CD44,SMAD4,GPNMB
COL9A3,CD44,SMAD4,GPRC5A
COL9A3,CD44,SMAD4,PAFAH1B3
COL9A3,CD44,SMAD4,TGFBR2
COL9A3,CD44,TWIST1,FN1
COL9A3,CD44,TWIST1,MMP2
CRTAM,CADM1,CTNNB1,PTPRF
CRTAM,CADM1,CTNNB1,TGFBR2
CRTAM,CADM1,MEN1,CDKN1B
CRTAM,CADM1,NFKB1,FN1
CRTAM,CADM1,NFKB1,IL1R1
CRTAM,CADM1,NFKB1,MMP2
CRTAM,CADM1,NFKB1,VCAN
CRTAM,CADM1,RELA,FN1
CRTAM,CADM1,RELA,IL1R1
CRTAM,CADM1,RELA,MMP2
