combo
ADAM17__Bcell|ITGB1__Macrophage
ADAM17__Bcell|ITGA5__Macrophage
ANGPT1__Bcell|ITGB1__Macrophage
ANGPT1__Bcell|ITGA5__Macrophage
ANGPT2__Bcell|ITGB1__Macrophage
ANGPT2__Bcell|ITGA5__Macrophage
ANGPTL1__Bcell|ITGB1__Macrophage
CCL13__Bcell|CCR5__Macrophage
CD14__Bcell|ITGB1__Macrophage
COL4A3__Bcell|ITGB1__Macrophage
COL4A3__Bcell|SDC1__Macrophage
CTSG__Bcell|F2RL2__Macrophage
EBI3__Bcell|IL27RA__Macrophage
F10__Bcell|ITGAM__Macrophage
F13A1__Bcell|ITGB1__Macrophage
FASLG__Bcell|TNFRSF6B__Macrophage
FCER2__Bcell|ITGAM__Macrophage
FREM1__Bcell|ITGB1__Macrophage
HGF__Bcell|SDC1__Macrophage
HGF__Bcell|SDC2__Macrophage
HP__Bcell|ITGAM__Macrophage
HP__Bcell|CD163__Macrophage
ICAM2__Bcell|ITGAM__Macrophage
ICAM2__Bcell|ITGAL__Macrophage
ICAM3__Bcell|ITGAL__Macrophage
IGF1__Bcell|ITGA6__Macrophage
IL16__Bcell|CCR5__Macrophage
JAM2__Bcell|ITGB1__Macrophage
LAMA1__Bcell|ITGB1__Macrophage
LAMA1__Bcell|ITGA6__Macrophage
LAMA1__Bcell|SDC2__Macrophage
LAMA2__Bcell|ITGB1__Macrophage
LAMA2__Bcell|ITGA6__Macrophage
LAMC3__Bcell|ITGB1__Macrophage
LAMC3__Bcell|ITGA6__Macrophage
LGALS9__Bcell|HAVCR2__Macrophage
NID1__Bcell|ITGB1__Macrophage
PLA2G2A__Bcell|ITGB1__Macrophage
PLA2G2A__Bcell|ITGA5__Macrophage
SELPLG__Bcell|ITGAM__Macrophage
SEMA3D__Bcell|NRP2__Macrophage
SEMA4D__Bcell|CD72__Macrophage
SEMA7A__Bcell|ITGB1__Macrophage
SLIT2__Bcell|SDC1__Macrophage
SLIT2__Bcell|APP__Macrophage
TNFSF14__Bcell|TNFRSF6B__Macrophage
TNFSF15__Bcell|TNFRSF6B__Macrophage
TNFSF15__Bcell|TNFRSF25__Macrophage
TNN__Bcell|ITGB1__Macrophage
TNN__Bcell|SDC1__Macrophage
VCAM1__Bcell|ITGB1__Macrophage
VCAM1__Bcell|ITGB7__Macrophage
ANGPT2__Endothelial|ITGB1__Macrophage
ANGPT2__Endothelial|ITGA5__Macrophage
COL4A2__Endothelial|ITGB1__Macrophage
COL4A2__Endothelial|SDC4__Macrophage
COL4A2__Endothelial|ITGAV__Macrophage
COL4A2__Endothelial|SDC1__Macrophage
COL4A2__Endothelial|CD44__Macrophage
CX3CL1__Endothelial|ITGAV__Macrophage
DUSP18__Endothelial|ITGB1__Macrophage
DUSP18__Endothelial|ITGA6__Macrophage
EFNB1__Endothelial|ERBB2__Macrophage
HBEGF__Endothelial|ERBB2__Macrophage
HBEGF__Endothelial|CD44__Macrophage
HSPG2__Endothelial|ITGB1__Macrophage
HSPG2__Endothelial|SDC1__Macrophage
ICAM1__Endothelial|ITGB2__Macrophage
ICAM1__Endothelial|ITGAL__Macrophage
ICAM1__Endothelial|IL2RA__Macrophage
ICAM2__Endothelial|ITGB2__Macrophage
ICAM2__Endothelial|ITGAL__Macrophage
ICAM3__Endothelial|ITGB2__Macrophage
ICAM3__Endothelial|ITGAL__Macrophage
IL15__Endothelial|IL2RA__Macrophage
IL15__Endothelial|IL2RG__Macrophage
IL6__Endothelial|IL6ST__Macrophage
JAM2__Endothelial|ITGB1__Macrophage
JAM2__Endothelial|ITGAV__Macrophage
JAM3__Endothelial|ITGB2__Macrophage
LGALS9__Endothelial|CD44__Macrophage
PDGFB__Endothelial|ITGAV__Macrophage
PDGFB__Endothelial|S1PR1__Macrophage
PGF__Endothelial|NRP1__Macrophage
PROS1__Endothelial|AXL__Macrophage
SELE__Endothelial|CD44__Macrophage
SELPLG__Endothelial|ITGB2__Macrophage
SEMA6D__Endothelial|PLXNA1__Macrophage
SNCA__Endothelial|LAG3__Macrophage
TFPI__Endothelial|SDC4__Macrophage
TNXB__Endothelial|ITGB1__Macrophage
TNXB__Endothelial|SDC4__Macrophage
TNXB__Endothelial|ITGAV__Macrophage
TNXB__Endothelial|SDC1__Macrophage
VCAM1__Endothelial|ITGB1__Macrophage
VCAM1__Endothelial|ITGB7__Macrophage
VCAM1__Endothelial|ITGB2__Macrophage
VWF__Endothelial|ITGAV__Macrophage
DUSP18__Endothelial|CD151__Stroma
ESAM__Endothelial|ESAM__Stroma
HBEGF__Endothelial|CD82__Stroma
SELE__Endothelial|GLG1__Stroma
SELPLG__Endothelial|ESAM__Stroma
FASLG__Macrophage|TNFRSF6B__Endothelial
HBEGF__Macrophage|CD9__Endothelial
KLRB1__Macrophage|CLEC2D__Endothelial
APP__Malignant|CAV1__Endothelial
CDH1__Malignant|LRP5__Endothelial
CDH1__Malignant|CDH1__Endothelial
CDH1__Malignant|PTPRM__Endothelial
MDK__Malignant|PTPRB__Endothelial
PTN__Malignant|PTPRB__Endothelial
WNT3__Malignant|LRP5__Endothelial
WNT5A__Malignant|LRP5__Endothelial
WNT7B__Malignant|LRP5__Endothelial
ADAM15__Malignant|ITGB1__Stroma
ADAM15__Malignant|ITGA5__Stroma
ADAM15__Malignant|ITGAV__Stroma
ADAM17__Malignant|ITGB1__Stroma
ADAM17__Malignant|ITGA5__Stroma
ADAM17__Malignant|NOTCH1__Stroma
ADAM9__Malignant|ITGB1__Stroma
ADAM9__Malignant|ITGAV__Stroma
ADAM9__Malignant|ITGB5__Stroma
ALCAM__Malignant|NRP1__Stroma
ANG__Malignant|PLXNB2__Stroma
APP__Malignant|CAV1__Stroma
APP__Malignant|CD74__Stroma
APP__Malignant|NCSTN__Stroma
AZGP1__Malignant|ITGAV__Stroma
B2M__Malignant|HLA-F__Stroma
BMP4__Malignant|ACVR2A__Stroma
BMP4__Malignant|RGMB__Stroma
CADM1__Malignant|CADM1__Stroma
CALM1__Malignant|PTPRA__Stroma
CALR__Malignant|ITGAV__Stroma
CALR__Malignant|HLA-F__Stroma
CCL5__Malignant|SDC4__Stroma
CCL5__Malignant|SDC1__Stroma
CD226__Malignant|PVR__Stroma
CD47__Malignant|SIRPA__Stroma
CD59__Malignant|CD2__Stroma
CDH1__Malignant|ITGB1__Stroma
CDH1__Malignant|LRP5__Stroma
CDH1__Malignant|ERBB3__Stroma
CDH1__Malignant|CDH1__Stroma
CGA__Malignant|SIRPA__Stroma
COL4A5__Malignant|ITGB1__Stroma
COL4A5__Malignant|SDC4__Stroma
COL4A5__Malignant|ITGAV__Stroma
COL4A5__Malignant|ITGA1__Stroma
COL4A5__Malignant|SDC1__Stroma
COL4A5__Malignant|ITGA11__Stroma
COL4A5__Malignant|CD47__Stroma
COL7A1__Malignant|ITGB1__Stroma
COL9A2__Malignant|ITGB1__Stroma
COL9A2__Malignant|SDC4__Stroma
COL9A2__Malignant|ITGAV__Stroma
COL9A2__Malignant|ITGA1__Stroma
COL9A2__Malignant|SDC1__Stroma
COL9A2__Malignant|ITGA11__Stroma
COL9A3__Malignant|ITGB1__Stroma
COL9A3__Malignant|SDC4__Stroma
COL9A3__Malignant|ITGAV__Stroma
COL9A3__Malignant|ITGA1__Stroma
COL9A3__Malignant|SDC1__Stroma
COL9A3__Malignant|ITGA11__Stroma
CTSG__Malignant|F2RL2__Stroma
CXCL14__Malignant|CXCR4__Stroma
DAG1__Malignant|LAMA4__Stroma
ECM1__Malignant|ITGB4__Stroma
EDN1__Malignant|EDNRA__Stroma
F11R__Malignant|ITGB2__Stroma
F11R__Malignant|ITGAL__Stroma
FARP2__Malignant|PLXNA1__Stroma
FARP2__Malignant|PLXNA3__Stroma
GDF11__Malignant|ACVR2A__Stroma
GPC3__Malignant|CD81__Stroma
GPI__Malignant|AMFR__Stroma
HLA-A__Malignant|APLP2__Stroma
HMGB1__Malignant|SDC1__Stroma
ICAM3__Malignant|ITGB2__Stroma
ICAM3__Malignant|ITGAL__Stroma
JAG2__Malignant|NOTCH1__Stroma
JAG2__Malignant|NOTCH2__Stroma
JAG2__Malignant|NOTCH3__Stroma
JAM3__Malignant|ITGB2__Stroma
LAMA3__Malignant|ITGB1__Stroma
LAMA3__Malignant|ITGAV__Stroma
LAMA3__Malignant|ITGA1__Stroma
LAMA3__Malignant|ITGB4__Stroma
LAMA5__Malignant|ITGB1__Stroma
LAMA5__Malignant|ITGAV__Stroma
LAMA5__Malignant|ITGA1__Stroma
LAMA5__Malignant|SDC1__Stroma
LAMA5__Malignant|ITGB4__Stroma
LAMB2__Malignant|ITGB1__Stroma
LAMB2__Malignant|ITGAV__Stroma
LAMB2__Malignant|ITGA1__Stroma
LAMB2__Malignant|ITGB4__Stroma
LAMB3__Malignant|ITGB1__Stroma
LAMB3__Malignant|ITGAV__Stroma
LAMB3__Malignant|ITGA1__Stroma
LAMB3__Malignant|CD151__Stroma
LAMB3__Malignant|ITGB4__Stroma
LGALS3BP__Malignant|ITGB1__Stroma
LGALS3BP__Malignant|VANGL1__Stroma
LRPAP1__Malignant|SORT1__Stroma
LTA__Malignant|EDNRA__Stroma
LTBP3__Malignant|ITGB5__Stroma
MDK__Malignant|ITGB1__Stroma
MDK__Malignant|SDC4__Stroma
MDK__Malignant|SDC3__Stroma
MDK__Malignant|SDC1__Stroma
MDK__Malignant|NOTCH2__Stroma
MIF__Malignant|CD74__Stroma
MIF__Malignant|CXCR4__Stroma
MMP7__Malignant|CD151__Stroma
NAMPT__Malignant|ITGB1__Stroma
NAMPT__Malignant|ITGA5__Stroma
NPNT__Malignant|ITGB1__Stroma
PDGFB__Malignant|ITGAV__Stroma
PDGFB__Malignant|S1PR1__Stroma
PIP__Malignant|NPTN__Stroma
PLAT__Malignant|ITGB2__Stroma
PSEN1__Malignant|NOTCH1__Stroma
PSEN1__Malignant|NCSTN__Stroma
PSEN1__Malignant|NOTCH2__Stroma
PSEN1__Malignant|NOTCH3__Stroma
PTDSS1__Malignant|SCARB1__Stroma
PTN__Malignant|SDC4__Stroma
PTN__Malignant|ITGAV__Stroma
PTN__Malignant|SDC3__Stroma
PTN__Malignant|PLXNB2__Stroma
PTN__Malignant|SDC1__Stroma
PTPRK__Malignant|PTPRK__Stroma
ROBO1__Malignant|ROBO1__Stroma
RTN4__Malignant|S1PR2__Stroma
SEMA3C__Malignant|NRP1__Stroma
SEMA3C__Malignant|PLXNA1__Stroma
SEMA3C__Malignant|PLXNA3__Stroma
SEMA3C__Malignant|NRP2__Stroma
SEMA3C__Malignant|PLXND1__Stroma
SEMA3E__Malignant|NRP1__Stroma
SEMA3E__Malignant|PLXND1__Stroma
SEMA4A__Malignant|NRP1__Stroma
SEMA4A__Malignant|PLXNB2__Stroma
SEMA4A__Malignant|PLXNA1__Stroma
SEMA4A__Malignant|PLXNA3__Stroma
SEMA4A__Malignant|PLXND1__Stroma
SEMA4A__Malignant|PLXNB1__Stroma
SEMA4C__Malignant|PLXNB2__Stroma
SEMA5A__Malignant|PLXNA1__Stroma
SEMA5A__Malignant|PLXNA3__Stroma
SERTAD1__Malignant|AR__Stroma
SFRP1__Malignant|FZD2__Stroma
SIRPG__Malignant|CD47__Stroma
SORBS1__Malignant|ITGB5__Stroma
SORBS1__Malignant|ITGA1__Stroma
SPN__Malignant|SIGLEC1__Stroma
TFF3__Malignant|CXCR4__Stroma
TGFA__Malignant|ERBB3__Stroma
TGM2__Malignant|ITGB1__Stroma
TGM2__Malignant|SDC4__Stroma
THBS3__Malignant|ITGB1__Stroma
THBS3__Malignant|SDC4__Stroma
THBS3__Malignant|ITGAV__Stroma
THBS3__Malignant|SDC1__Stroma
THBS3__Malignant|CD47__Stroma
TNFSF15__Malignant|TNFRSF6B__Stroma
UBA52__Malignant|NOTCH1__Stroma
VEGFA__Malignant|ITGB1__Stroma
VEGFA__Malignant|ITGAV__Stroma
VEGFA__Malignant|NRP1__Stroma
VEGFA__Malignant|SIRPA__Stroma
VEGFA__Malignant|NRP2__Stroma
WNT3__Malignant|LRP5__Stroma
WNT3__Malignant|FZD1__Stroma
WNT3__Malignant|FZD2__Stroma
WNT5A__Malignant|LRP5__Stroma
WNT5A__Malignant|ROR2__Stroma
WNT5A__Malignant|FZD1__Stroma
WNT5A__Malignant|FZD2__Stroma
WNT7B__Malignant|LRP5__Stroma
WNT7B__Malignant|FZD1__Stroma
