Ligand,Receptor,LRscore,ligand_mean_expr,receptor_mean_expr,ligand_pct_expr,receptor_pct_expr
FN1__Stroma,CD74__Malignant,6.078954788905096,1.4325379738808335,4.243485966683894,19.641916798314902,69.03633491311216
B2M__Malignant,CD81__Stroma,6.078437992644331,4.6627616364755315,1.3036132803989686,69.06266456029489,19.40494997367035
B2M__Malignant,CD74__Stroma,6.022336659636168,4.6627616364755315,1.2915814980815332,69.06266456029489,20.221169036334913
MIF__Malignant,CD81__Stroma,5.95197170716436,4.565749518402244,1.3036132803989686,69.06266456029489,19.40494997367035
MIF__Malignant,CD74__Stroma,5.897037602843009,4.565749518402244,1.2915814980815332,69.06266456029489,20.221169036334913
HLA-B__Malignant,CD81__Stroma,5.801218035239586,4.450106578742534,1.3036132803989686,69.03633491311216,19.40494997367035
HLA-B__Malignant,CD74__Stroma,5.747675321594769,4.450106578742534,1.2915814980815332,69.03633491311216,20.221169036334913
HLA-A__Malignant,CD81__Stroma,5.609767898003968,4.3032454350933795,1.3036132803989686,69.08899420747761,19.40494997367035
HLA-A__Malignant,CD74__Stroma,5.557992185670426,4.3032454350933795,1.2915814980815332,69.08899420747761,20.221169036334913
TFF3__Malignant,CD81__Stroma,5.4259114486407185,4.162209399232361,1.3036132803989686,68.90468667719853,19.40494997367035
TFF3__Malignant,CD74__Stroma,5.375832651189571,4.162209399232361,1.2915814980815332,68.90468667719853,20.221169036334913
FN1__Stroma,BAMBI__Malignant,5.303919454172474,1.4325379738808335,3.702463425666707,19.641916798314902,67.93048973143759
HLA-C__Malignant,CD81__Stroma,5.167753445401178,3.9641767409883983,1.3036132803989686,68.64139020537124,19.40494997367035
HLA-C__Malignant,CD74__Stroma,5.120057333785765,3.9641767409883983,1.2915814980815332,68.64139020537124,20.221169036334913
B2M__Malignant,IL6ST__Stroma,5.103648807798341,4.6627616364755315,1.0945549452654555,69.06266456029489,17.9304897314376
CD24__Malignant,CD81__Stroma,5.028271141478187,3.8571800526144475,1.3036132803989686,68.19378620326488,19.40494997367035
UBA52__Malignant,CD81__Stroma,5.014482149477631,3.846602535333912,1.3036132803989686,68.74670879410216,19.40494997367035
MIF__Malignant,IL6ST__Stroma,4.997463714210548,4.565749518402244,1.0945549452654555,69.06266456029489,17.9304897314376
CD24__Malignant,CD74__Stroma,4.981862390725976,3.8571800526144475,1.2915814980815332,68.19378620326488,20.221169036334913
UBA52__Malignant,CD74__Stroma,4.968200665110798,3.846602535333912,1.2915814980815332,68.74670879410216,20.221169036334913
FN1__Stroma,CD9__Malignant,4.952430071575053,1.4325379738808335,3.4571021235539154,19.641916798314902,67.6408636124276
HLA-B__Malignant,IL6ST__Stroma,4.870886162720978,4.450106578742534,1.0945549452654555,69.03633491311216,17.9304897314376
GNAS__Malignant,CD81__Stroma,4.784651999940913,3.67030013569406,1.3036132803989686,68.27277514481305,19.40494997367035
FN1__Stroma,CD63__Malignant,4.755041833845514,1.4325379738808335,3.31931294007084,19.641916798314902,68.48341232227489
GNAS__Malignant,CD74__Stroma,4.740491747668589,3.67030013569406,1.2915814980815332,68.27277514481305,20.221169036334913
HLA-A__Malignant,IL6ST__Stroma,4.710138571672455,4.3032454350933795,1.0945549452654555,69.08899420747761,17.9304897314376
ARF1__Malignant,CD81__Stroma,4.616523756929536,3.5413291858431024,1.3036132803989686,68.06213796735123,19.40494997367035
HSPA1A__Malignant,CD81__Stroma,4.60083669020467,3.529295657985773,1.3036132803989686,67.7461822011585,19.40494997367035
ARF1__Malignant,CD74__Stroma,4.573915255051091,3.5413291858431024,1.2915814980815332,68.06213796735123,20.221169036334913
HSPA1A__Malignant,CD74__Stroma,4.558372973113915,3.529295657985773,1.2915814980815332,67.7461822011585,20.221169036334913
TFF3__Malignant,IL6ST__Stroma,4.555766881160141,4.162209399232361,1.0945549452654555,68.90468667719853,17.9304897314376
LGALS3BP__Malignant,CD81__Stroma,4.542573937180247,3.484602378237509,1.3036132803989686,68.72037914691943,19.40494997367035
FN1__Stroma,IL6ST__Malignant,4.513224228930812,1.4325379738808335,3.150509313693242,19.641916798314902,67.29857819905213
CD9__Malignant,CD81__Stroma,4.50672423996036,3.4571021235539154,1.3036132803989686,67.6408636124276,19.40494997367035
LGALS3BP__Malignant,CD74__Stroma,4.500647959902476,3.484602378237509,1.2915814980815332,68.72037914691943,20.221169036334913
CD9__Malignant,CD74__Stroma,4.465129139760616,3.4571021235539154,1.2915814980815332,67.6408636124276,20.221169036334913
FN1__Stroma,ENO1__Malignant,4.3767706581543235,1.4325379738808335,3.0552562919483264,19.641916798314902,67.14060031595577
TIMP3__Stroma,CD74__Malignant,4.3744668641810875,1.0308663439741617,4.243485966683894,16.824644549763033,69.03633491311216
EFNA1__Malignant,CD81__Stroma,4.355331273756483,3.340968782109631,1.3036132803989686,67.16692996313849,19.40494997367035
FN1__Stroma,ERBB2__Malignant,4.351319860295124,1.4325379738808335,3.0374900628338186,19.641916798314902,66.58767772511848
HLA-C__Malignant,IL6ST__Stroma,4.3390092557551485,3.9641767409883983,1.0945549452654555,68.64139020537124,17.9304897314376
AZGP1__Malignant,CD81__Stroma,4.333955914339243,3.324571772552703,1.3036132803989686,67.53554502369668,19.40494997367035
FN1__Stroma,CD151__Malignant,4.332340116453375,1.4325379738808335,3.02424102916923,19.641916798314902,67.19325961032122
EFNA1__Malignant,CD74__Stroma,4.315133464640793,3.340968782109631,1.2915814980815332,67.16692996313849,20.221169036334913
AZGP1__Malignant,CD74__Stroma,4.293955390473198,3.324571772552703,1.2915814980815332,67.53554502369668,20.221169036334913
B2M__Malignant,FLOT1__Stroma,4.237038487823005,4.6627616364755315,0.908697209541614,69.06266456029489,16.903633491311215
CD24__Malignant,IL6ST__Stroma,4.221895501368413,3.8571800526144475,1.0945549452654555,68.19378620326488,17.9304897314376
UBA52__Malignant,IL6ST__Stroma,4.210317827520373,3.846602535333912,1.0945549452654555,68.74670879410216,17.9304897314376
BST2__Malignant,CD81__Stroma,4.178207017275487,3.2050970023845986,1.3036132803989686,67.58820431806214,19.40494997367035
MIF__Malignant,FLOT1__Stroma,4.148883846838087,4.565749518402244,0.908697209541614,69.06266456029489,16.903633491311215
BST2__Malignant,CD74__Stroma,4.139643987836531,3.2050970023845986,1.2915814980815332,67.58820431806214,20.221169036334913
THBS1__Stroma,CD74__Malignant,4.110083989068765,0.9685631156406587,4.243485966683894,16.53501843075303,69.03633491311216
TNFSF10__Malignant,CD81__Stroma,4.0996873877762114,3.1448646998452707,1.3036132803989686,66.29805160610847,19.40494997367035
TNFSF10__Malignant,CD74__Stroma,4.0618490602898865,3.1448646998452707,1.2915814980815332,66.29805160610847,20.221169036334913
HLA-DRB1__Malignant,CD81__Stroma,4.056330409207606,3.111605619702012,1.3036132803989686,68.27277514481305,19.40494997367035
HLA-B__Malignant,FLOT1__Stroma,4.0437994302661195,4.450106578742534,0.908697209541614,69.03633491311216,16.903633491311215
HLA-DRB1__Malignant,CD74__Stroma,4.018892247733642,3.111605619702012,1.2915814980815332,68.27277514481305,20.221169036334913
GNAS__Malignant,IL6ST__Stroma,4.017345164132406,3.67030013569406,1.0945549452654555,68.27277514481305,17.9304897314376
B2M__Malignant,ITGB5__Stroma,3.960810873680167,4.6627616364755315,0.8494560053629607,69.06266456029489,15.11321748288573
IGFBP4__Malignant,CD81__Stroma,3.9372909863965266,3.020290638026889,1.3036132803989686,68.45708267509215,19.40494997367035
FN1__Stroma,FLOT1__Malignant,3.9294716608551843,1.4325379738808335,2.7430139601884367,19.641916798314902,65.7451290152712
HLA-A__Malignant,FLOT1__Stroma,3.9103471188420427,4.3032454350933795,0.908697209541614,69.08899420747761,16.903633491311215
IGFBP4__Malignant,CD74__Stroma,3.900951506904399,3.020290638026889,1.2915814980815332,68.45708267509215,20.221169036334913
FN1__Stroma,PLXNB2__Malignant,3.8911147191135877,1.4325379738808335,2.7162384453742043,19.641916798314902,65.69246972090575
FN1__Stroma,SDC1__Malignant,3.884310703987578,1.4325379738808335,2.7114888225020253,19.641916798314902,64.797261716693
MIF__Malignant,ITGB5__Stroma,3.878403347389832,4.565749518402244,0.8494560053629607,69.06266456029489,15.11321748288573
ARF1__Malignant,IL6ST__Stroma,3.876179373177457,3.5413291858431024,1.0945549452654555,68.06213796735123,17.9304897314376
