ligand,receptor,combo,mean_score,median_score,max_score,sum_score,sd_score,ligand_mean_expr,receptor_mean_expr
B2M__Malignant,CD74__Macrophage,B2M__Malignant|CD74__Macrophage,308.33835587361773,210.73236191741137,4247.456853057006,1171069.0756080002,401.2968772482199,53.28807480900779,7.736225637451514
HLA-B__Malignant,CD74__Macrophage,HLA-B__Malignant|CD74__Macrophage,240.08367040219957,140.8656098335095,3477.786545139506,911837.7801875541,343.5861347977451,40.37302955570916,7.736225637451514
MIF__Malignant,CD74__Macrophage,MIF__Malignant|CD74__Macrophage,235.70160347007928,205.2480875469879,1527.0790865822728,895194.689979361,241.17202042305317,43.70585223720301,7.736225637451514
HLA-A__Malignant,CD74__Macrophage,HLA-A__Malignant|CD74__Macrophage,179.42246532054796,122.06595269669333,2405.29755507077,681446.5232874411,233.39623436202282,31.03118324208266,7.736225637451514
TFF3__Malignant,CD74__Macrophage,TFF3__Malignant|CD74__Macrophage,159.86271970195435,88.57449646550117,2285.8885641964976,607158.6094280226,240.90519342094723,28.32932165010647,7.736225637451514
APOE__Macrophage,CD74__Malignant,APOE__Macrophage|CD74__Malignant,129.0364216754391,0,5172.163207300154,490080.3295233177,510.76740343268415,6.424318242558926,27.971675213352512
HLA-C__Malignant,CD74__Macrophage,HLA-C__Malignant|CD74__Macrophage,119.73619813215221,76.54954067399153,2119.2896237481086,454758.0805059141,164.8159548446088,20.50116626115124,7.736225637451514
CD24__Malignant,CD74__Macrophage,CD24__Malignant|CD74__Macrophage,97.12128748898189,74.49692385939412,916.0757040057697,368866.64988315327,105.49369083999666,17.664792125884766,7.736225637451514
UBA52__Malignant,CD74__Macrophage,UBA52__Malignant|CD74__Macrophage,87.53220044240581,70.90963537363587,635.9799698554118,332447.2972802573,91.08469837352877,15.977123501653127,7.736225637451514
PSAP__Macrophage,CD74__Malignant,PSAP__Macrophage|CD74__Malignant,82.58756322898545,0,3619.9823579638605,313667.5651436867,328.13716677268826,4.120553171189394,27.971675213352512
HLA-DRA__Macrophage,CD74__Malignant,HLA-DRA__Macrophage|CD74__Malignant,75.70676975143982,0,2816.381347953254,287534.3115159684,286.9246689657121,3.765344818249655,27.971675213352512
APOE__Macrophage,BAMBI__Malignant,APOE__Macrophage|BAMBI__Malignant,72.31292056167744,0,2814.499232319272,274644.47229325096,285.08841723249225,6.424318242558926,15.04070305679784
FN1__Stroma,CD74__Malignant,FN1__Stroma|CD74__Malignant,71.22226273255599,0,4794.153843553848,270502.1538582477,304.72625899835225,3.791117473611257,27.971675213352512
GNAS__Malignant,CD74__Macrophage,GNAS__Malignant|CD74__Macrophage,70.60187210405455,58.14334716092188,476.56170296229277,268145.91025119915,72.32033922027107,13.152725906951673,7.736225637451514
LGALS3BP__Malignant,CD74__Macrophage,LGALS3BP__Malignant|CD74__Macrophage,69.53211164918936,30.248119800602698,909.6236315910846,264082.9600436212,97.13713493573795,12.223174829218673,7.736225637451514
HSPA1A__Malignant,CD74__Macrophage,HSPA1A__Malignant|CD74__Macrophage,63.926900473542965,44.18618769322467,1334.6603490546486,242794.3679985162,74.27542905581389,12.164245659901171,7.736225637451514
ARF1__Malignant,CD74__Macrophage,ARF1__Malignant|CD74__Macrophage,60.843965916095115,48.00235483902405,435.1186318959561,231085.38254932925,63.49115051368661,11.327927432811919,7.736225637451514
CD9__Malignant,CD74__Macrophage,CD9__Malignant|CD74__Macrophage,57.5721590412843,41.54333966140631,417.51458216977625,218659.0600387978,63.614433060018754,10.56470171391948,7.736225637451514
EFNA1__Malignant,CD74__Macrophage,EFNA1__Malignant|CD74__Macrophage,52.625441976128066,30.044446784352623,504.1622625801896,199871.4286253344,63.414376722756295,9.79413117980602,7.736225637451514
